"Full Name","Birth Date","Death Date","Cemetery Name","Section","Plot","Inscription"
"George Johnson","11/24/1903","09/24/1948","San Fernando Cemetery No. 1","Y","173",""
"Walter Wilson","10/22/1815","01/08/1903","Mission Burial Park","V","23",""
"Aoife Gallagher","10/23/1766","08/24/1851","City Cemetery No. 1","U","125",""
"Rafael Ramírez","01/16/1828","05/23/1860","San Fernando Cemetery No. 1","O","30",""
"Florencio Martínez","10/11/1863","11/22/1951","San Fernando Cemetery No. 1","F","56",""
"Rosa Hernández","06/09/1871","05/26/1929","City Cemetery No. 1","N","156",""
"Francisca Sánchez","08/03/1852","03/15/1926","San Fernando Cemetery No. 2","O","115",""
"Else Neumann","04/19/1829","03/28/1903","City Cemetery No. 1","M","28","Auf Wiedersehen"
"Felicitas Medina","06/16/1852","04/01/1919","San Fernando Cemetery No. 2","O","26","Que en paz descanse"
"Juan Flores","11/13/1887","03/07/1943","San Fernando Cemetery No. 1","J","77",""
"Petra Morales","11/04/1886","04/01/1943","San Fernando Cemetery No. 1","Z","118",""
"Agustín Pérez","04/04/1812","03/10/1897","National Cemetery (Fort Sam Houston)","M","137",""
"Edward Martin","07/18/1793","05/13/1853","National Cemetery (Fort Sam Houston)","M","152",""
"Ernesto Reyes","04/16/1761","01/09/1850","Mission Burial Park","T","165",""
"Helene Schmitt","12/20/1856","10/06/1894","San Fernando Cemetery No. 1","V","165","Gone but not forgotten"
"Franz Fischer","12/22/1787","05/02/1855","San Fernando Cemetery No. 2","S","25","Con Dios"
"Franz Schroeder","02/18/1843","09/07/1865","San Fernando Cemetery No. 1","O","179",""
"Marta Steinemann","09/20/1878","08/11/1955","Mission Burial Park","Z","187",""
"Ludwig Zimmermann","06/06/1901","08/20/1928","San Fernando Cemetery No. 2","D","126","Ruhe in Frieden"
"Gertrud Klein","09/20/1863","09/24/1895","National Cemetery (Fort Sam Houston)","V","27",""
"Josefa Herrera","07/28/1817","11/26/1877","San Fernando Cemetery No. 2","D","105",""
"Adolph Gruenewald","12/28/1853","08/27/1895","Confederate Cemetery","D","108",""
"Soledad Rodríguez","09/28/1814","10/27/1861","Mission Burial Park","W","152",""
"Remedios Flores","11/27/1893","01/04/1939","San Fernando Cemetery No. 1","P","20",""
"Gregorio Flores","07/04/1820","07/08/1864","San Fernando Cemetery No. 2","C","121",""
"Guadalupe González","04/16/1862","12/20/1889","Mission Burial Park","F","154",""
"Gustav Neumann","04/22/1805","06/23/1878","National Cemetery (Fort Sam Houston)","S","141",""
"Franz Werner","03/11/1838","10/21/1877","City Cemetery No. 1","D","113",""
"Otto Koch","08/28/1869","02/21/1921","Confederate Cemetery","F","28",""
"Lillie Nelson","07/08/1765","02/23/1854","National Cemetery (Fort Sam Houston)","T","67",""
"Feliciano Ortiz","07/07/1830","04/04/1890","San Fernando Cemetery No. 1","T","63","Amado esposo y padre"
"Gertrud Schmitt","12/22/1855","01/21/1929","City Cemetery No. 1","L","149",""
"Eusebio González","12/04/1879","12/20/1921","Confederate Cemetery","P","163",""
"Heinrich Klein","04/07/1873","09/03/1901","National Cemetery (Fort Sam Houston)","P","50",""
"Johann Weber","01/23/1854","11/08/1911","San Fernando Cemetery No. 2","J","34",""
"Ethel Brown","01/14/1889","10/17/1938","Mission Burial Park","H","48",""
"José Pérez","05/09/1860","02/21/1919","San Fernando Cemetery No. 2","J","195",""
"Amparo Martínez","06/01/1819","12/09/1870","Mission Burial Park","T","79",""
"William Brown","11/03/1861","12/17/1935","City Cemetery No. 1","N","71","Siempre en nuestros corazones"
"Rafael Díaz","04/15/1901","09/20/1929","San Fernando Cemetery No. 1","K","80",""
"William Scott","03/13/1846","10/02/1931","San Fernando Cemetery No. 1","V","200","Rest in peace"
"Carlos Rivera","01/21/1903","10/19/1945","San Fernando Cemetery No. 2","H","123",""
"Walter Braun","04/08/1808","03/19/1872","National Cemetery (Fort Sam Houston)","M","24",""
"Andrés Díaz","05/05/1878","11/01/1927","City Cemetery No. 1","U","162",""
"Gregorio Rivera","07/07/1861","12/07/1915","San Fernando Cemetery No. 2","Z","77",""
"Consuelo Ortiz","12/17/1843","08/12/1876","Confederate Cemetery","N","157",""
"Adolph Lehmann","12/18/1835","03/10/1886","San Fernando Cemetery No. 2","M","159",""
"Angela Castillo","10/28/1854","06/27/1876","City Cemetery No. 1","F","195",""
"Bertha Thomas","04/19/1906","05/16/1927","Confederate Cemetery","Z","155",""
"Jesús Pérez","01/09/1895","08/13/1957","Confederate Cemetery","D","141",""
"Frederick Anderson","08/07/1800","03/18/1885","City Cemetery No. 1","J","190",""
"Else Klein","10/19/1817","08/19/1905","City Cemetery No. 1","O","5",""
"James Mitchell","02/28/1934","07/19/1960","City Cemetery No. 1","T","113",""
"Seamus Doyle","02/11/1840","05/26/1917","Confederate Cemetery","P","92",""
"Concepción Rodríguez","01/22/1845","12/17/1919","San Fernando Cemetery No. 1","M","126",""
"George Miller","10/21/1819","12/07/1886","Confederate Cemetery","S","133",""
"Eileen Kennedy","07/14/1885","01/21/1947","Mission Burial Park","S","59",""
"Isidro Ortiz","08/27/1843","09/14/1872","Mission Burial Park","R","151","Im Frieden des Herrn"
"Guadalupe Ramírez","09/11/1842","01/28/1892","Mission Burial Park","P","110",""
"Grace Thompson","04/17/1879","02/21/1951","Mission Burial Park","J","147",""
"Elizabeth Scott","06/08/1814","04/11/1899","San Fernando Cemetery No. 1","X","22","Beloved husband and father"
"Soledad Vásquez","01/25/1880","06/03/1926","City Cemetery No. 1","U","129",""
"Arthur Harris","01/07/1814","09/13/1894","Confederate Cemetery","K","107","Rest in peace"
"Elena Moreno","07/17/1824","11/20/1877","National Cemetery (Fort Sam Houston)","M","192",""
"Manuel Torres","11/14/1799","04/12/1875","San Fernando Cemetery No. 1","P","183",""
"Katharina Gruenewald","06/15/1810","08/10/1865","Confederate Cemetery","N","45",""
"Francisca Medina","09/20/1893","06/23/1918","National Cemetery (Fort Sam Houston)","T","126",""
"Adolph Braun","05/27/1834","11/10/1884","National Cemetery (Fort Sam Houston)","W","86","Geliebter Vater und Gatte"
"Olga Lehmann","08/13/1832","01/25/1882","Confederate Cemetery","N","143",""
"James Mitchell","02/10/1846","07/15/1911","National Cemetery (Fort Sam Houston)","O","90","Beloved husband and father"
"Henry Wright","01/21/1922","04/02/1949","Mission Burial Park","B","147",""
"Nellie Jackson","04/24/1856","12/17/1895","City Cemetery No. 1","X","68",""
"Brigid O'Connor","06/06/1883","07/12/1934","San Fernando Cemetery No. 2","V","34",""
"Gregorio García","01/28/1881","01/09/1960","National Cemetery (Fort Sam Houston)","X","21","Called home too soon"
"Louisa Gruenewald","10/19/1819","02/03/1903","Mission Burial Park","M","81",""
"Jesús Morales","07/14/1890","08/26/1945","San Fernando Cemetery No. 1","J","187",""
"Clarence Wright","08/22/1862","11/14/1947","San Fernando Cemetery No. 1","I","185",""
"Luz Vásquez","12/12/1898","03/23/1920","Mission Burial Park","E","95",""
"Anna Neumann","12/06/1877","10/03/1932","Mission Burial Park","H","178",""
"Emilie Schroeder","06/09/1882","05/28/1904","Confederate Cemetery","V","62",""
"William Moore","02/18/1810","06/03/1857","Confederate Cemetery","M","9",""
"Henry Young","12/24/1847","02/09/1925","National Cemetery (Fort Sam Houston)","K","43",""
"Antonio García","05/04/1821","06/20/1874","San Fernando Cemetery No. 1","X","173","Called home too soon"
"Katharina Gruenewald","07/10/1823","02/18/1895","Confederate Cemetery","P","78","Beloved husband and father"
"Sarah Thompson","06/17/1898","04/01/1936","City Cemetery No. 1","G","69",""
"Ida Carter","09/12/1773","06/07/1860","Mission Burial Park","F","178","En la memoria de todos"
"Juana López","12/22/1895","10/17/1953","San Fernando Cemetery No. 1","F","142",""
"Thomas Jackson","04/18/1866","06/25/1908","San Fernando Cemetery No. 2","D","151",""
"Kathleen Burke","04/18/1914","01/24/1941","San Fernando Cemetery No. 1","I","99","In loving memory"
"Nora Walsh","10/15/1803","02/23/1870","Mission Burial Park","H","196",""
"Emma Davis","08/07/1819","09/11/1858","City Cemetery No. 1","C","23",""
"Manuel Garza","01/03/1887","06/12/1932","City Cemetery No. 1","H","10","Hier ruht in Gott"
"Gerhard Fischer","10/24/1909","12/04/1935","Confederate Cemetery","L","158",""
"Angela Domínguez","12/26/1894","12/14/1944","City Cemetery No. 1","K","78","En la memoria de todos"
"Teresa Pérez","06/05/1814","07/20/1868","San Fernando Cemetery No. 1","N","79",""
"Emma Smith","11/13/1835","02/23/1903","Mission Burial Park","T","24","Que en paz descanse"
"Lupe Ramírez","09/05/1881","12/04/1952","Confederate Cemetery","Q","33","Beloved husband and father"
"Clara Wagner","03/01/1865","07/27/1933","National Cemetery (Fort Sam Houston)","G","162",""
"Sarah Baker","03/22/1801","01/12/1850","Mission Burial Park","U","163",""
"Agustín Ramos","03/01/1816","12/07/1856","San Fernando Cemetery No. 1","U","170",""
"Lena Schroeder","09/15/1900","03/09/1944","San Fernando Cemetery No. 1","E","157",""
"Isidro González","12/05/1870","11/17/1892","Mission Burial Park","Q","103","Auf Wiedersehen"
"Otto Lehmann","07/26/1935","03/09/1956","City Cemetery No. 1","J","123",""
"Juana Garza","05/28/1833","12/19/1855","San Fernando Cemetery No. 1","U","129",""
"Francisca Ortiz","06/21/1807","01/04/1876","City Cemetery No. 1","N","35",""
"Else Wolf","12/20/1869","07/12/1943","National Cemetery (Fort Sam Houston)","H","19",""
"Luz Ramírez","02/26/1836","10/01/1867","Mission Burial Park","G","143",""
"Mathilde Hoffmann","04/17/1914","08/03/1935","San Fernando Cemetery No. 1","G","85","Ruhe in Frieden"
"Gertrud Werner","05/03/1824","09/06/1881","National Cemetery (Fort Sam Houston)","W","193","Con Dios"
"Nellie Wilson","10/12/1839","08/05/1889","San Fernando Cemetery No. 1","X","105",""
"Bessie Baker","08/01/1808","03/22/1878","National Cemetery (Fort Sam Houston)","I","131",""
"Walter Gruenewald","10/06/1913","06/13/1952","City Cemetery No. 1","Y","170",""
"Esperanza Flores","09/07/1907","09/01/1941","San Fernando Cemetery No. 2","H","96",""
"Gustav Klein","08/14/1844","12/10/1918","Mission Burial Park","P","129","Auf Wiedersehen"
"Charles Martin","10/16/1823","12/09/1884","City Cemetery No. 1","E","21",""
"Catalina Salinas","10/21/1832","11/26/1894","San Fernando Cemetery No. 2","Q","180",""
"Edward Williams","09/13/1880","02/23/1937","Mission Burial Park","F","110",""
"Emma Nelson","05/11/1854","10/16/1928","San Fernando Cemetery No. 2","I","157",""
"Margarita Chávez","08/17/1818","02/20/1889","National Cemetery (Fort Sam Houston)","N","61",""
"Frederick Miller","01/27/1851","12/17/1894","San Fernando Cemetery No. 1","M","50",""
"Frederick Martin","05/05/1891","11/05/1933","San Fernando Cemetery No. 2","Q","72",""
"Felicitas Flores","01/19/1821","07/14/1911","Mission Burial Park","Q","197",""
"Josefa González","04/10/1839","01/26/1885","National Cemetery (Fort Sam Houston)","A","19",""
"Eusebio Cruz","12/16/1826","09/13/1897","San Fernando Cemetery No. 1","L","84",""
"Ramón Torres","08/28/1825","01/20/1900","City Cemetery No. 1","X","104",""
"Agustín Garza","10/19/1887","04/13/1945","San Fernando Cemetery No. 1","D","154",""
"Nellie White","09/12/1867","12/21/1906","Mission Burial Park","B","44",""
"Bessie Baker","09/08/1911","11/27/1958","San Fernando Cemetery No. 1","V","128",""
"Helene Weidemann","05/07/1797","07/06/1870","National Cemetery (Fort Sam Houston)","L","102",""
"Francisca García","08/27/1885","09/20/1907","City Cemetery No. 1","C","171",""
"Frieda Braun","06/12/1833","02/15/1914","San Fernando Cemetery No. 1","E","147",""
"Luis Flores","07/09/1861","04/22/1893","National Cemetery (Fort Sam Houston)","R","46",""
"Felicitas Garza","08/15/1880","10/16/1934","Confederate Cemetery","L","98",""
"María Treviño","11/26/1838","05/24/1891","Mission Burial Park","G","164",""
"Eugene Martin","07/26/1871","08/04/1934","National Cemetery (Fort Sam Houston)","F","37",""
"Juana López","05/28/1862","07/23/1912","San Fernando Cemetery No. 1","L","54",""
"Juan López","08/15/1812","02/11/1864","San Fernando Cemetery No. 2","Y","74",""
"Franz Lange","06/12/1876","08/05/1918","Confederate Cemetery","Q","87",""
"Agustín Herrera","06/21/1801","02/13/1889","City Cemetery No. 1","O","55",""
"Antonio Treviño","11/24/1875","06/18/1897","National Cemetery (Fort Sam Houston)","Z","89",""
"Nellie Roberts","07/02/1842","02/21/1914","San Fernando Cemetery No. 2","Z","136",""
"Ernst Klein","08/01/1813","04/07/1871","City Cemetery No. 1","A","120","Auf Wiedersehen"
"Colleen O'Connor","11/19/1858","02/09/1941","Confederate Cemetery","X","178",""
"Gustav Zimmermann","08/10/1846","01/17/1893","City Cemetery No. 1","W","197",""
"Bernardo Vásquez","06/20/1784","01/03/1862","Mission Burial Park","A","169",""
"Marta Richter","10/02/1854","10/26/1908","Confederate Cemetery","R","111",""
"Gustav Hartmann","02/24/1823","07/23/1862","City Cemetery No. 1","S","200",""
"Pearl White","06/07/1855","07/22/1906","Confederate Cemetery","P","62",""
"Remedios Domínguez","03/05/1777","08/02/1855","National Cemetery (Fort Sam Houston)","R","55",""
"Florencio Cantu","10/01/1910","02/25/1954","San Fernando Cemetery No. 1","I","49","Con Dios"
"Catalina Gutiérrez","11/08/1857","04/14/1928","City Cemetery No. 1","P","183",""
"Helene Lange","12/25/1839","09/01/1884","Mission Burial Park","A","171","Con Dios"
"Margarita Chávez","07/27/1918","06/18/1957","San Fernando Cemetery No. 1","Q","45",""
"Walter Wilson","12/25/1890","08/26/1943","San Fernando Cemetery No. 1","E","130",""
"Mathilde Weber","04/26/1825","03/22/1861","San Fernando Cemetery No. 2","C","68",""
"Joseph Williams","10/26/1774","10/16/1863","San Fernando Cemetery No. 2","K","159",""
"Richard Harris","07/12/1829","11/21/1883","Mission Burial Park","G","47",""
"Josefa Sánchez","11/28/1828","02/26/1916","Mission Burial Park","K","22",""
"María Garza","11/21/1778","01/07/1868","National Cemetery (Fort Sam Houston)","D","177",""
"Kieran Burke","08/03/1833","02/18/1888","City Cemetery No. 1","M","172","At rest with the Lord"
"Remedios Cruz","01/04/1821","04/11/1875","San Fernando Cemetery No. 1","F","114","Rest in peace"
"María Fuentes","08/02/1870","07/10/1949","Mission Burial Park","S","3",""
"Frieda Schwarz","12/20/1842","08/13/1880","City Cemetery No. 1","A","124",""
"Walter Davis","05/18/1837","08/05/1862","National Cemetery (Fort Sam Houston)","Q","102",""
"Francisca Reyes","07/28/1815","04/27/1855","City Cemetery No. 1","U","85",""
"Ludwig Weber","01/11/1854","10/03/1925","Mission Burial Park","V","193",""
"Lupe González","11/01/1840","12/23/1922","San Fernando Cemetery No. 2","J","34",""
"Juana Medina","02/24/1847","01/04/1937","City Cemetery No. 1","R","147","Auf Wiedersehen"
"Francisca Ramos","02/11/1809","08/09/1851","San Fernando Cemetery No. 2","C","154",""
"Bessie Davis","02/14/1859","01/05/1901","National Cemetery (Fort Sam Houston)","X","194","Que en paz descanse"
"Clarence Smith","06/18/1823","10/08/1868","San Fernando Cemetery No. 2","Y","129",""
"William Smith","06/28/1852","06/15/1902","San Fernando Cemetery No. 1","P","80",""
"Adolph Weber","05/02/1823","03/24/1853","San Fernando Cemetery No. 1","E","140",""
"Aurelio Fuentes","06/26/1874","10/01/1922","National Cemetery (Fort Sam Houston)","O","26",""
"James Miller","08/02/1770","06/14/1854","National Cemetery (Fort Sam Houston)","J","19","Auf Wiedersehen"
"Ernesto Ortiz","04/08/1858","04/25/1919","Confederate Cemetery","M","144",""
"Clara Wolf","01/13/1882","11/14/1909","City Cemetery No. 1","H","80",""
"Pearl Nelson","02/21/1892","08/22/1941","Confederate Cemetery","Y","61","Called home too soon"
"Walter Werner","06/25/1879","12/24/1956","Confederate Cemetery","I","88","At rest with the Lord"
"Andrés González","12/26/1849","05/23/1925","San Fernando Cemetery No. 2","D","139","Geliebter Vater und Gatte"
"Samuel Davis","10/23/1845","01/15/1911","City Cemetery No. 1","Z","123",""
"Ignacio Fuentes","05/22/1834","05/15/1900","Mission Burial Park","L","108",""
"August Meyer","05/17/1825","07/22/1871","City Cemetery No. 1","I","175","Rest in peace"
"Augusta Hartmann","12/14/1834","09/28/1898","San Fernando Cemetery No. 1","N","98",""
"Luz Domínguez","07/26/1822","04/17/1858","National Cemetery (Fort Sam Houston)","P","9",""
"Ruth Harris","11/07/1901","06/15/1926","National Cemetery (Fort Sam Houston)","S","105","Called home too soon"
"August Fischer","04/12/1859","02/02/1935","San Fernando Cemetery No. 1","E","142",""
"Wilhelm Klein","04/06/1863","11/06/1919","San Fernando Cemetery No. 2","G","176",""
"Henry King","07/01/1870","04/09/1925","Confederate Cemetery","W","8",""
"Lupe Reyes","11/05/1873","01/13/1937","San Fernando Cemetery No. 2","K","113",""
"Harold Taylor","04/16/1798","03/17/1861","Mission Burial Park","B","9",""
"Remedios Garza","04/04/1823","09/16/1886","San Fernando Cemetery No. 1","S","162",""
"Ethel Davis","09/26/1858","06/10/1896","San Fernando Cemetery No. 1","K","64",""
"Brendan Kennedy","09/17/1818","01/16/1892","Mission Burial Park","O","140",""
"Elvira Ramírez","08/02/1842","02/08/1871","San Fernando Cemetery No. 1","T","184",""
"Siobhan Gallagher","09/26/1913","10/22/1949","Confederate Cemetery","S","135",""
"Arthur Miller","03/26/1903","12/03/1955","City Cemetery No. 1","S","93",""
"Arthur Roberts","05/04/1876","10/13/1935","Confederate Cemetery","A","61","Until we meet again"
"Sophie Mueller","03/17/1827","06/03/1852","Confederate Cemetery","J","87",""
"Gregorio Flores","02/24/1923","12/21/1943","Confederate Cemetery","L","77",""
"Aurelio Herrera","01/28/1901","03/22/1929","City Cemetery No. 1","M","107","Con Dios"
"Thomas Thomas","05/09/1794","07/22/1871","San Fernando Cemetery No. 2","B","59",""
"Gustav Schäfer","04/01/1900","09/26/1944","National Cemetery (Fort Sam Houston)","L","130",""
"Andrés Morales","07/02/1879","09/23/1900","San Fernando Cemetery No. 1","I","86",""
"Francisca Herrera","06/17/1771","05/24/1859","Mission Burial Park","D","159",""
"Eusebio Pérez","11/05/1841","07/16/1922","San Fernando Cemetery No. 1","T","34",""
"Soledad Torres","03/08/1855","12/24/1920","San Fernando Cemetery No. 2","W","39",""
"Carlos Díaz","09/06/1883","08/19/1946","National Cemetery (Fort Sam Houston)","D","88",""
"Bessie Nelson","10/21/1818","02/14/1865","Confederate Cemetery","C","73",""
"Ruth Anderson","05/06/1922","08/10/1956","City Cemetery No. 1","R","120",""
"Carmen Cantu","04/23/1837","02/17/1926","San Fernando Cemetery No. 1","F","77",""
"Colleen Ryan","12/26/1832","04/25/1907","Confederate Cemetery","P","44",""
"Luis Díaz","10/15/1872","06/28/1930","National Cemetery (Fort Sam Houston)","P","43",""
"Rosa Garza","04/17/1842","12/28/1901","Mission Burial Park","U","12",""
"Katharina Hoffmann","03/10/1861","11/01/1918","Confederate Cemetery","S","108",""
"Pearl Taylor","12/12/1778","10/03/1851","Confederate Cemetery","H","123",""
"Ernesto Ramírez","01/08/1827","06/09/1866","Confederate Cemetery","Z","154",""
"Lupe López","08/08/1824","11/11/1862","San Fernando Cemetery No. 1","W","30",""
"Luis Rodríguez","07/19/1821","08/28/1883","San Fernando Cemetery No. 1","A","163","Ruhe in Frieden"
"Hermann Becker","08/26/1838","10/17/1892","City Cemetery No. 1","F","41",""
"Bessie King","08/26/1822","11/14/1903","San Fernando Cemetery No. 1","L","64",""
"Héctor Flores","07/11/1894","05/15/1944","San Fernando Cemetery No. 1","B","185",""
"Guadalupe López","07/03/1827","05/27/1905","Mission Burial Park","J","78","Que en paz descanse"
"Richard Anderson","03/21/1827","11/02/1883","San Fernando Cemetery No. 2","D","103",""
"Elizabeth Baker","10/08/1851","08/12/1905","National Cemetery (Fort Sam Houston)","G","79",""
"Anna Hoffmann","12/12/1847","04/24/1890","San Fernando Cemetery No. 2","Q","121",""
"Hermann Gruenewald","04/01/1904","09/04/1952","Confederate Cemetery","H","71",""
"Edith Johnson","02/28/1814","04/14/1873","San Fernando Cemetery No. 2","E","76",""
"Teresa Treviño","03/02/1796","12/27/1874","San Fernando Cemetery No. 2","H","89","Beloved husband and father"
"Antonio Salinas","06/12/1831","01/16/1862","City Cemetery No. 1","R","128","Siempre en nuestros corazones"
"Beatriz López","06/13/1826","03/05/1884","City Cemetery No. 1","C","21",""
"William Jones","08/25/1867","04/17/1891","National Cemetery (Fort Sam Houston)","C","151","Called home too soon"
"Nellie Perez","12/23/1804","06/23/1852","City Cemetery No. 1","T","66",""
"Sophie Weber","06/16/1832","12/16/1892","San Fernando Cemetery No. 1","M","111",""
"Johann Hoffmann","02/24/1827","04/01/1902","Confederate Cemetery","E","20",""
"Ida Schulz","08/14/1870","03/01/1890","San Fernando Cemetery No. 1","K","11",""
"Emil Neumann","10/15/1880","06/22/1953","Confederate Cemetery","C","79","Rest in peace"
"Else Schmidt","01/03/1912","10/02/1945","City Cemetery No. 1","Y","194",""
"Miguel Torres","09/04/1828","09/17/1912","National Cemetery (Fort Sam Houston)","T","54","Auf Wiedersehen"
"Consuelo Sánchez","12/12/1814","09/16/1902","San Fernando Cemetery No. 1","Q","176",""
"Adolph Krüger","06/13/1786","11/19/1854","National Cemetery (Fort Sam Houston)","R","195","Amado esposo y padre"
"Ignacio Torres","12/21/1921","08/06/1941","National Cemetery (Fort Sam Houston)","D","173",""
"Wilhelmine Wolf","01/15/1820","06/14/1876","National Cemetery (Fort Sam Houston)","H","187",""
"Siobhan O'Brien","09/25/1872","07/20/1948","National Cemetery (Fort Sam Houston)","S","161",""
"Adolph Schäfer","08/03/1855","09/07/1927","City Cemetery No. 1","M","124",""
"Bruno Neumann","02/28/1875","07/15/1942","National Cemetery (Fort Sam Houston)","K","196",""
"Adolph Klein","07/07/1789","06/22/1855","City Cemetery No. 1","H","193","Gone but not forgotten"
"Wilhelmine Zimmermann","03/12/1844","01/24/1868","National Cemetery (Fort Sam Houston)","L","110",""
"Catalina Fuentes","02/13/1866","04/01/1911","Confederate Cemetery","W","143",""
"Petra Pérez","11/05/1816","05/18/1897","San Fernando Cemetery No. 1","D","37",""
"Liam Kennedy","06/10/1864","01/22/1891","National Cemetery (Fort Sam Houston)","B","130",""
"Mathilde Weidemann","07/21/1837","04/19/1920","Confederate Cemetery","H","134",""
"Ernesto Morales","04/17/1795","04/26/1851","San Fernando Cemetery No. 2","Y","172","At rest with the Lord"
"Concepción Flores","01/16/1880","05/20/1928","Mission Burial Park","W","72","Siempre en nuestros corazones"
"Gertrud Hoffmann","10/16/1817","07/05/1902","Mission Burial Park","G","92","Auf Wiedersehen"
"Guadalupe Salinas","03/05/1910","07/02/1930","San Fernando Cemetery No. 2","B","34",""
"Francisca Ramos","02/22/1841","02/06/1907","City Cemetery No. 1","Q","145",""
"Remedios Flores","02/14/1885","09/01/1948","Confederate Cemetery","N","12",""
"Edith Allen","05/25/1776","08/17/1866","City Cemetery No. 1","P","163",""
"Dolores Domínguez","07/20/1780","06/05/1860","City Cemetery No. 1","R","73",""
"Florencio Ortiz","09/18/1886","09/05/1938","Confederate Cemetery","G","186","Con Dios"
"Rafael González","09/02/1844","02/27/1878","Mission Burial Park","E","98",""
"Ethel Nelson","11/19/1814","10/25/1865","Confederate Cemetery","A","99","Ruhe in Frieden"
"William Mitchell","02/27/1879","10/27/1914","National Cemetery (Fort Sam Houston)","Z","158","Im Frieden des Herrn"
"Amparo Torres","09/18/1816","12/16/1888","Mission Burial Park","Y","55",""
"Josefa Castillo","09/04/1833","04/25/1861","San Fernando Cemetery No. 1","R","163","At rest with the Lord"
"Josefa Reyes","08/28/1836","06/21/1870","National Cemetery (Fort Sam Houston)","V","1",""
"Walter Mueller","07/15/1897","12/09/1923","San Fernando Cemetery No. 1","J","170",""
"José Díaz","07/09/1798","05/26/1863","City Cemetery No. 1","P","33",""
"Ignacio Castillo","01/08/1897","01/15/1951","San Fernando Cemetery No. 2","O","68",""
"Else Wolf","10/04/1799","10/08/1850","Mission Burial Park","H","101",""
"Esperanza Molina","01/08/1819","02/01/1888","San Fernando Cemetery No. 2","N","195",""
"Eugene Johnson","02/22/1844","08/13/1894","San Fernando Cemetery No. 1","C","7",""
"Hilda Klein","04/13/1889","02/06/1950","San Fernando Cemetery No. 1","M","74","Ruhe in Frieden"
"Kieran Brennan","11/21/1858","05/18/1926","National Cemetery (Fort Sam Houston)","Q","152",""
"José Cruz","08/26/1875","02/01/1901","Confederate Cemetery","A","193","Amado esposo y padre"
"Mabel Wright","10/07/1852","06/19/1911","San Fernando Cemetery No. 2","B","114",""
"Albert Brown","01/02/1849","12/25/1923","City Cemetery No. 1","T","7","Beloved husband and father"
"Florencio Cantu","05/08/1815","10/14/1892","San Fernando Cemetery No. 2","H","171",""
"Walter Lange","10/04/1844","06/06/1893","Confederate Cemetery","Y","175","Rest in peace"
"María López","07/21/1846","10/23/1889","Confederate Cemetery","L","55",""
"Fiona Brennan","08/07/1899","08/08/1932","National Cemetery (Fort Sam Houston)","J","196",""
"Catalina Torres","09/13/1811","12/26/1875","City Cemetery No. 1","V","63",""
"Emil Schwarz","12/03/1855","11/03/1908","San Fernando Cemetery No. 2","I","148",""
"Harold Jackson","06/12/1886","01/14/1906","National Cemetery (Fort Sam Houston)","U","26",""
"Bernardo Ramírez","03/11/1796","12/04/1865","San Fernando Cemetery No. 1","M","179",""
"Margarita Ortiz","10/18/1854","05/13/1900","Mission Burial Park","T","115","Hier ruht in Gott"
"Gertrud Bauer","10/23/1863","01/28/1912","San Fernando Cemetery No. 2","I","170","Faithful servant of God"
"Aoife Ryan","03/20/1863","03/12/1924","Mission Burial Park","B","85","Until we meet again"
"Juan Hernández","02/27/1923","02/22/1950","City Cemetery No. 1","N","19",""
"Hedwig Hoffmann","02/05/1865","05/25/1950","San Fernando Cemetery No. 1","H","1","En la memoria de todos"
"Wilhelmine Neumann","10/20/1891","05/22/1959","San Fernando Cemetery No. 1","Y","175",""
"Ida Mitchell","11/07/1856","08/05/1901","San Fernando Cemetery No. 1","B","68",""
"Olga Krüger","06/24/1815","11/14/1881","Confederate Cemetery","C","156","Beloved husband and father"
"Bertha Bergmann","02/17/1820","01/14/1867","Mission Burial Park","M","74","Auf Wiedersehen"
"Hermann Gruenewald","05/25/1781","03/07/1853","San Fernando Cemetery No. 1","W","161",""
"Gustav Weidemann","07/28/1902","10/19/1930","Confederate Cemetery","N","71","Called home too soon"
"William Green","06/05/1881","12/08/1923","National Cemetery (Fort Sam Houston)","E","163",""
"Florence Jackson","10/28/1874","04/15/1927","National Cemetery (Fort Sam Houston)","S","83",""
"Pedro Domínguez","11/17/1889","05/09/1947","City Cemetery No. 1","Y","64",""
"Hedwig Klein","02/10/1880","02/28/1914","San Fernando Cemetery No. 2","H","12",""
"James Anderson","06/11/1891","08/16/1921","Mission Burial Park","L","153",""
"Luz Vásquez","09/16/1858","03/25/1939","National Cemetery (Fort Sam Houston)","B","44",""
"Anna Lange","08/06/1893","05/13/1943","San Fernando Cemetery No. 1","N","46",""
"María Morales","05/03/1783","04/11/1868","National Cemetery (Fort Sam Houston)","Z","2","Im Frieden des Herrn"
"Hans Schroeder","10/07/1831","04/24/1909","National Cemetery (Fort Sam Houston)","L","126",""
"Tomás Torres","11/03/1828","12/15/1882","San Fernando Cemetery No. 1","C","123",""
"Colleen O'Brien","03/12/1803","12/17/1877","Confederate Cemetery","U","119",""
"Andrés Moreno","01/26/1897","03/07/1943","San Fernando Cemetery No. 1","R","11",""
"Remedios Torres","11/18/1871","03/21/1923","San Fernando Cemetery No. 2","Q","120",""
"Emma Johnson","09/07/1824","11/23/1910","San Fernando Cemetery No. 1","F","163",""
"Eileen Burke","08/05/1874","03/06/1894","San Fernando Cemetery No. 1","C","158",""
