"Name","Occupation","Address","Directory Year","Spouse Name"
"Samuel Adams","stockman","899 Laredo St","1891","Florence Brown"
"Arthur Jackson","carpenter","1079 Soledad St","1891","Helene Schroeder"
"Gregorio Rivera","baker","842 Houston St","1895","Louisa Anderson"
"Andrés Rivera","minister","131 Houston St","1877",""
"Ernesto Cruz","minister","180 Commerce St","1925",""
"Tomás Martínez","barber","577 Soledad St","1915",""
"José Morales","merchant","967 Commerce St","1910",""
"William Perez","printer","1045 Alamo Plaza","1920","Concepción López"
"Gerhard Gruenewald","stockman","446 Commerce St","1885","Pearl Taylor"
"Ernst Braun","teamster","694 Alamo Plaza","1885","Else Schulz"
"Agustín Ramírez","carpenter","662 Market St","1891","Edith Wilson"
"Miguel González","blacksmith","547 Santa Rosa St","1905",""
"Otto Meyer","butcher","1054 Alamo Plaza","1891","Juana Moreno"
"Francisco Moreno","teamster","770 Flores St","1885","Bertha Schulz"
"Miguel Rodríguez","printer","626 Soledad St","1895",""
"Juan Gutiérrez","stockman","1176 Navarro St","1901","Harriet Brown"
"Walter Young","stockman","219 Houston St","1910","Soledad Chávez"
"Kieran Kennedy","physician","181 Flores St","1901",""
"Miguel Treviño","butcher","720 Houston St","1895",""
"Karl Gruenewald","physician","393 Houston St","1877","Elvira Hernández"
"Francisco Reyes","physician","1105 Alamo Plaza","1885",""
"Andrés González","barber","1013 Santa Rosa St","1901",""
"Gustav Braun","blacksmith","456 Santa Rosa St","1920",""
"Feliciano Ramos","tailor","978 Commerce St","1891",""
"Edward Martin","stockman","981 Alamo Plaza","1905","Lillie Brown"
"Agustín López","blacksmith","1189 Flores St","1877","Guadalupe García"
"Eamon Burke","butcher","240 Houston St","1895","Olga Mueller"
"Gregorio Ramos","farmer","169 Santa Rosa St","1885","Elena Domínguez"
"Joseph Jones","clerk","811 Commerce St","1925","Emilie Fischer"
"Hans Werner","attorney","543 Market St","1920","Remedios Ortiz"
"Wilhelm Wolf","blacksmith","362 Market St","1910","Josefa Ortiz"
"Isidro Martínez","teacher","684 Alamo Plaza","1915",""
"Agustín Molina","barber","512 Houston St","1881",""
"Ernesto Vásquez","farmer","473 Laredo St","1920","Petra Rodríguez"
"Juan Treviño","butcher","269 Commerce St","1891","Soledad Sánchez"
"Ramón Díaz","saloon keeper","796 Navarro St","1920","Hilda Werner"
"Manuel Chávez","baker","1126 Houston St","1881","Harriet Adams"
"Colm Doyle","blacksmith","506 Flores St","1925","Fiona Kennedy"
"Guadalupe Torres","printer","221 Flores St","1891",""
"Andrés Ramírez","physician","1169 Houston St","1910",""
"Otto Braun","teamster","312 Navarro St","1881","Remedios Flores"
"Andrés Moreno","teacher","670 Alamo Plaza","1881",""
"Pedro Pérez","printer","474 Santa Rosa St","1915",""
"Francisco Ortiz","baker","736 Laredo St","1877",""
"Luis Cruz","teacher","463 Houston St","1885","Grace Miller"
"Isidro Castillo","saloon keeper","540 Alamo Plaza","1885","Frieda Gruenewald"
"Eusebio Martínez","printer","652 Commerce St","1915",""
"Agustín Ramos","laborer","599 Navarro St","1905","Elvira González"
"Bruno Bauer","blacksmith","749 Navarro St","1895",""
"Ignacio Moreno","blacksmith","806 Soledad St","1925","Ida Weber"
"Adolph Koch","tailor","500 Laredo St","1915",""
"Ignacio Pérez","druggist","283 Navarro St","1877","Guadalupe Domínguez"
"Thomas Davis","minister","436 Flores St","1885",""
"Joseph Brown","printer","327 Market St","1910","Hilda Weidemann"
"Guadalupe Salinas","merchant","1027 Commerce St","1925",""
"Rafael Cantu","laborer","503 Commerce St","1891",""
"Gustav Krüger","farmer","315 Alamo Plaza","1891","Guadalupe Pérez"
"George Nelson","physician","582 Soledad St","1881",""
"Aurelio Torres","clerk","271 Alamo Plaza","1881",""
"Francisco González","printer","100 Santa Rosa St","1920","Petra Treviño"
"Hermann Koch","butcher","292 Soledad St","1877","Grace Scott"
"Agustín Molina","farmer","924 Santa Rosa St","1920","Elvira Gutiérrez"
"Eusebio Martínez","teamster","615 Market St","1885","Lena Hoffmann"
"Gerhard Zimmermann","barber","917 Navarro St","1920","Angela Molina"
"Heinrich Lange","tailor","767 Santa Rosa St","1910","Nellie Jones"
"Frank Johnson","tailor","601 Market St","1895","Aoife Brennan"
"Gustav Schulz","farmer","666 Soledad St","1901","Nellie Wright"
"Heinrich Schwarz","butcher","599 Alamo Plaza","1925","Edith Anderson"
"Andrés Cantu","blacksmith","335 Alamo Plaza","1910","Frieda Richter"
"Eusebio Treviño","laborer","150 Market St","1905",""
"Isidro Díaz","clerk","231 Laredo St","1895","Siobhan O'Connor"
"Adolph Klein","merchant","422 Santa Rosa St","1910",""
"Isidro Medina","tailor","1200 Houston St","1891","Kathleen O'Brien"
"Juan Herrera","saloon keeper","166 Alamo Plaza","1915","Petra Garza"
"Friedrich Schmidt","attorney","231 Commerce St","1915","Hedwig Wagner"
"Carlos Torres","laborer","138 Santa Rosa St","1925","Guadalupe Ramos"
"Bruno Richter","merchant","468 Market St","1905",""
"Bruno Fischer","blacksmith","894 Commerce St","1925",""
"Guadalupe Cruz","laborer","1124 Market St","1901",""
"August Zimmermann","teamster","646 Santa Rosa St","1895",""
"Rafael Flores","laborer","1173 Flores St","1881",""
"August Meyer","tailor","113 Flores St","1901","Lena Weidemann"
"Walter Schroeder","clerk","1171 Alamo Plaza","1895","Fiona Brennan"
"Emil Neumann","merchant","638 Alamo Plaza","1915","Lena Wagner"
"Tomás Molina","barber","416 Soledad St","1881",""
"Francisco Treviño","teamster","242 Laredo St","1905","Olga Gruenewald"
"Andrés Ramírez","baker","1094 Flores St","1901","Josefa Ortiz"
"Adolph Braun","minister","1135 Navarro St","1881","Fiona Flanagan"
"Adolph Schulz","laborer","310 Santa Rosa St","1920",""
"Agustín Treviño","attorney","195 Market St","1925","Nellie Moore"
"Hermann Hartmann","stockman","191 Flores St","1910","Elena Rivera"
"Manuel Chávez","barber","772 Flores St","1905",""
"Thomas Carter","barber","846 Alamo Plaza","1895",""
"Klaus Wolf","baker","1158 Flores St","1881",""
"Feliciano Reyes","physician","1063 Soledad St","1925",""
"Juan López","saloon keeper","726 Houston St","1915",""
"Friedrich Werner","tailor","174 Navarro St","1877",""
"Harold Thompson","saloon keeper","588 Flores St","1891",""
"Heinrich Koch","tailor","755 Santa Rosa St","1915",""
"Ernst Schäfer","farmer","625 Santa Rosa St","1905",""
"Eugene Green","physician","246 Navarro St","1910","Anna Schulz"
"Henry Carter","merchant","279 Soledad St","1881","Francisca López"
"Wilhelm Schmitt","butcher","1180 Alamo Plaza","1881","Ida Hoffmann"
"Joseph Martin","farmer","802 Laredo St","1895",""
"Juan López","printer","176 Commerce St","1877","Ida Mueller"
"Otto Schmidt","carpenter","349 Commerce St","1905",""
"Friedrich Werner","merchant","210 Soledad St","1885","Aoife Sullivan"
"Frank Jackson","saloon keeper","793 Commerce St","1925",""
"Arthur Allen","saloon keeper","401 Market St","1920","Josefa Reyes"
"Gustav Lehmann","clerk","153 Laredo St","1905",""
"Seamus Kennedy","minister","542 Alamo Plaza","1901","Luz Díaz"
"Conrad Schmidt","carpenter","801 Laredo St","1910","Petra Chávez"
"Luis Salinas","minister","1153 Soledad St","1925",""
"Edward Martin","blacksmith","973 Navarro St","1905",""
"Gregorio Salinas","butcher","449 Flores St","1915",""
"Feliciano Ortiz","carpenter","849 Market St","1925","Elena Garza"
"James Smith","saloon keeper","133 Houston St","1910",""
"August Koch","minister","285 Houston St","1925","Helene Schulz"
"Aurelio Morales","druggist","774 Laredo St","1877","Petra Hernández"
"Klaus Werner","baker","708 Alamo Plaza","1901",""
"Antonio Treviño","attorney","1021 Commerce St","1920","Beatriz Vásquez"
"Tomás Salinas","physician","662 Commerce St","1915",""
"Frederick Anderson","printer","418 Santa Rosa St","1885",""
"Ludwig Steinemann","minister","972 Navarro St","1877","Sophie Schroeder"
"Jesús Sánchez","printer","1125 Navarro St","1891","Gertrud Schulz"
"Tomás Hernández","merchant","465 Flores St","1891","Grace Allen"
"Luis Ortiz","minister","1094 Commerce St","1910","Margarita Díaz"
"Otto Meyer","attorney","656 Commerce St","1920","Remedios Salinas"
"Arthur Mitchell","saloon keeper","535 Santa Rosa St","1885","Hedwig Wagner"
"Hans Neumann","barber","870 Santa Rosa St","1877","Helene Schmidt"
"Thomas Green","attorney","323 Soledad St","1905","Juana Reyes"
"Agustín Vásquez","teacher","642 Market St","1915","Ramona Cruz"
"Johann Neumann","druggist","1129 Soledad St","1925",""
"Karl Gruenewald","physician","862 Laredo St","1901","Hedwig Bergmann"
"Gerhard Neumann","farmer","851 Commerce St","1910","Concepción Rivera"
"Manuel Medina","blacksmith","138 Commerce St","1877",""
"Juan Cruz","druggist","373 Laredo St","1901",""
"Otto Neumann","butcher","554 Alamo Plaza","1895",""
"Eugene Martin","stockman","590 Flores St","1877",""
"Antonio Gutiérrez","baker","834 Santa Rosa St","1885",""
"Feliciano Molina","carpenter","1053 Alamo Plaza","1910","Frieda Becker"
"Conrad Schmitt","clerk","332 Laredo St","1925","Clara Mueller"
"Emil Klein","printer","1134 Soledad St","1895","Lena Schulz"
"Miguel Díaz","clerk","366 Commerce St","1905",""
"Isidro Martínez","barber","428 Laredo St","1895","Nellie Jackson"
"Johann Neumann","teamster","643 Navarro St","1895","Brigid O'Brien"
"Juan García","baker","184 Santa Rosa St","1925","Grace Thomas"
"Guadalupe Reyes","baker","125 Alamo Plaza","1925","Florence Anderson"
"Otto Klein","blacksmith","1066 Market St","1881","Remedios Ramírez"
"George Roberts","stockman","1024 Commerce St","1877","Helen Adams"
"Ernst Braun","minister","448 Navarro St","1885",""
"Bruno Lange","barber","673 Soledad St","1901","Florence Jones"
"Friedrich Steinemann","barber","1194 Flores St","1905","Clara Schäfer"
"Gregorio Ramírez","farmer","1029 Commerce St","1910","Luz Treviño"
"Klaus Meyer","attorney","605 Houston St","1885","Gertrud Weber"
"Eusebio Chávez","farmer","811 Soledad St","1885","Rosa Flores"
"Antonio Cantu","barber","654 Santa Rosa St","1920",""
"Ernesto Herrera","saloon keeper","891 Market St","1901","Helene Zimmermann"
"Carlos Ramírez","druggist","666 Santa Rosa St","1885",""
"Gerhard Bauer","blacksmith","262 Market St","1895",""
"Albert Green","baker","117 Soledad St","1905",""
"Henry Moore","laborer","798 Soledad St","1925","Remedios Martínez"
"Johann Klein","farmer","448 Laredo St","1925",""
"Samuel Adams","printer","149 Market St","1910","Hedwig Wolf"
"Ernst Weidemann","teacher","805 Alamo Plaza","1877","Olga Richter"
"William Johnson","barber","986 Navarro St","1877","Ida Klein"
"Frank Wilson","baker","256 Santa Rosa St","1920",""
"Guadalupe Pérez","barber","424 Houston St","1895","Emilie Krüger"
"Isidro Cantu","baker","347 Market St","1881","Mathilde Schulz"
"Joseph White","barber","583 Commerce St","1915",""
"Edward Young","farmer","1182 Houston St","1885",""
"Robert Mitchell","teamster","668 Flores St","1877","Sarah Thomas"
"Walter Schulz","carpenter","233 Commerce St","1915","Angela Díaz"
"Charles Carter","stockman","307 Alamo Plaza","1895","Harriet Jackson"
"Ernesto Castillo","printer","641 Flores St","1881",""
"Friedrich Weber","saloon keeper","755 Alamo Plaza","1920",""
"Karl Wolf","teacher","116 Soledad St","1891",""
"Feliciano Rodríguez","teacher","1132 Laredo St","1901","Helene Krüger"
"Héctor Pérez","teamster","562 Market St","1901",""
"Conrad Weber","teamster","1077 Laredo St","1885",""
"Ludwig Schmidt","blacksmith","896 Alamo Plaza","1901","Lupe Treviño"
"Bernardo Fuentes","clerk","1193 Commerce St","1915",""
"Henry Martin","clerk","756 Market St","1905","Bertha Carter"
"Conrad Hartmann","druggist","135 Houston St","1895","Amparo González"
"George Martin","farmer","589 Flores St","1895",""
"Isidro Fuentes","butcher","238 Commerce St","1901",""
"George Miller","teamster","806 Soledad St","1891",""
"Ignacio López","carpenter","753 Alamo Plaza","1905",""
"Luis Vásquez","minister","542 Market St","1915",""
"Ignacio Castillo","barber","329 Flores St","1905",""
"Heinrich Schäfer","saloon keeper","630 Market St","1877",""
"Isidro Díaz","carpenter","405 Soledad St","1925","Mathilde Weber"
"George Martin","physician","362 Market St","1915","Juana Vásquez"
"Jesús Torres","teamster","544 Laredo St","1885","Remedios Díaz"
"Franz Wagner","physician","344 Santa Rosa St","1901",""
"Tomás López","farmer","893 Commerce St","1905","Harriet Jackson"
"Liam O'Brien","stockman","361 Santa Rosa St","1891",""
"Juan Martínez","minister","474 Laredo St","1891","Soledad Rivera"
"Arthur Smith","clerk","919 Laredo St","1885","Catalina Rodríguez"
"Albert Martin","attorney","351 Laredo St","1901","Lena Wolf"
"Emil Krüger","merchant","551 Flores St","1881",""
"Franz Schulz","tailor","1197 Alamo Plaza","1885",""
"Ernst Becker","tailor","251 Market St","1910","Wilhelmine Mueller"
"Miguel Martínez","baker","876 Soledad St","1895","Clara Schwarz"
"Conrad Steinemann","saloon keeper","1167 Alamo Plaza","1925",""
"Gerhard Werner","teacher","493 Houston St","1915",""
"Klaus Mueller","clerk","277 Market St","1910","Bertha Mueller"
"Ernst Lange","tailor","304 Flores St","1885","Hilda Schroeder"
"Manuel Rodríguez","farmer","1134 Alamo Plaza","1877",""
"Karl Klein","carpenter","230 Navarro St","1891","Soledad Treviño"
"Wilhelm Weber","baker","934 Laredo St","1881","Luz Chávez"
"Friedrich Wagner","tailor","961 Santa Rosa St","1877",""
"Gregorio Medina","teacher","932 Flores St","1905","Josefa Morales"
"Ludwig Fischer","laborer","528 Houston St","1925","Clara Schroeder"
"Jesús González","printer","458 Alamo Plaza","1877",""
"Gregorio Reyes","farmer","294 Alamo Plaza","1895","Angela Castillo"
"Fergus Kelly","physician","302 Santa Rosa St","1891",""
"Héctor Ramos","clerk","163 Laredo St","1925",""
"Agustín Martínez","carpenter","654 Laredo St","1891",""
"Robert Harris","laborer","454 Commerce St","1915","Amparo García"
"Karl Bauer","blacksmith","1049 Soledad St","1925","Louisa White"
"José Domínguez","printer","959 Laredo St","1891","Luz Castillo"
"Rafael Flores","attorney","832 Santa Rosa St","1885",""
"Patrick McCarthy","clerk","185 Houston St","1905",""
"Karl Bauer","blacksmith","1048 Soledad St","1910","Nora Sullivan"
"Ernst Hartmann","tailor","904 Flores St","1895","Hilda Krüger"
"Gustav Lehmann","farmer","545 Navarro St","1901","Felicitas López"
"Thomas Anderson","clerk","1017 Flores St","1901","Elizabeth Wilson"
"Rafael Garza","tailor","513 Flores St","1891",""
"Pedro Sánchez","physician","788 Laredo St","1905","Siobhan McCarthy"
"Tomás Herrera","blacksmith","456 Navarro St","1905","Rosa Reyes"
"Albert Green","barber","226 Flores St","1881",""
"Eugene Baker","merchant","264 Santa Rosa St","1910",""
"Ernesto Díaz","physician","279 Commerce St","1901",""
"Ignacio Flores","physician","362 Laredo St","1895","Ruth Perez"
"Clarence Perez","saloon keeper","465 Laredo St","1881",""
"William Miller","barber","802 Flores St","1895","Olga Werner"
"Edward Carter","attorney","945 Soledad St","1915","Francisca Hernández"
"Dermot Flanagan","farmer","1125 Santa Rosa St","1925",""
"Friedrich Schmidt","clerk","855 Houston St","1915","Rosa Molina"
"Feliciano Salinas","attorney","582 Soledad St","1895","Emma Smith"
"Juan Rodríguez","attorney","375 Houston St","1905","Alice Jones"
"Harold Roberts","teacher","1039 Commerce St","1920",""
"George Roberts","tailor","601 Navarro St","1885","Mabel Scott"
"James Jones","teacher","448 Santa Rosa St","1901","María González"
"Antonio Ramírez","physician","292 Laredo St","1895",""
"Friedrich Richter","physician","1148 Santa Rosa St","1885","Lena Mueller"
"Otto Zimmermann","farmer","458 Laredo St","1905","Anna Gruenewald"
"Edward Perez","druggist","195 Santa Rosa St","1885","Emilie Schmitt"
"Kieran Ryan","clerk","1036 Santa Rosa St","1885",""
"Otto Steinemann","druggist","537 Santa Rosa St","1891",""
"Gustav Schulz","barber","645 Commerce St","1881",""
"Carlos González","printer","804 Flores St","1895","Ida Lehmann"
"Harold Wilson","carpenter","398 Soledad St","1915","Florence Harris"
"Emil Krüger","druggist","723 Market St","1910","Gertrud Hoffmann"
"Antonio Reyes","tailor","880 Houston St","1905","Consuelo González"
"Eugene Williams","barber","545 Navarro St","1925","Carmen García"
"Feliciano Torres","physician","398 Commerce St","1901","Wilhelmine Neumann"
"Bruno Braun","farmer","1024 Flores St","1881","Hedwig Schmitt"
"Emil Schulz","druggist","694 Commerce St","1877",""
"Robert Smith","laborer","989 Laredo St","1915",""
"Frederick Thomas","carpenter","421 Laredo St","1877",""
"Otto Schroeder","teacher","142 Navarro St","1915",""
"Patrick O'Brien","farmer","177 Navarro St","1920","Guadalupe López"
"Pedro Flores","carpenter","107 Navarro St","1915",""
"Bruno Weber","druggist","334 Soledad St","1881","Emilie Klein"
"Juan Hernández","butcher","460 Soledad St","1885","Nellie Thomas"
"Clarence Martin","merchant","1079 Houston St","1901",""
"Pedro López","baker","508 Alamo Plaza","1915","Margarita Fuentes"
"Carlos Molina","teacher","471 Soledad St","1885",""
"Joseph Jackson","merchant","739 Laredo St","1885","Bertha Wagner"
"Harold Smith","farmer","318 Soledad St","1891",""
"Juan Rodríguez","tailor","224 Laredo St","1877",""
"Wilhelm Hoffmann","attorney","122 Alamo Plaza","1895","Fiona Sullivan"
"John Thompson","farmer","859 Soledad St","1885","Harriet Taylor"
"Francisco Sánchez","attorney","612 Alamo Plaza","1925","Louisa Fischer"
"August Werner","attorney","119 Market St","1891","Pearl Allen"
"Rafael Garza","teamster","406 Santa Rosa St","1910","Rosa Pérez"
"Gerhard Wagner","butcher","335 Navarro St","1905","Elena Sánchez"
"August Hartmann","teacher","754 Navarro St","1885","Ethel Baker"
"James Anderson","druggist","648 Flores St","1891",""
"Pedro Medina","farmer","120 Flores St","1885","Emma Carter"
"Feliciano Gutiérrez","saloon keeper","1066 Flores St","1877",""
"Colm Burke","minister","1179 Flores St","1925",""
"Conrad Schäfer","teacher","574 Navarro St","1920",""
"Klaus Bergmann","stockman","802 Alamo Plaza","1901",""
"Wilhelm Schäfer","minister","915 Alamo Plaza","1901","Brigid Flanagan"
"Hermann Lange","carpenter","770 Navarro St","1920",""
"William Baker","teacher","251 Navarro St","1901",""
"Eusebio Garza","teamster","793 Houston St","1910","Sarah King"
"Walter Jones","blacksmith","1016 Navarro St","1881","Ida Krüger"
"Pedro Salinas","stockman","968 Flores St","1877",""
"Franz Richter","carpenter","347 Flores St","1877","Harriet Taylor"
"Otto Bauer","saloon keeper","927 Houston St","1925",""
"Richard Johnson","stockman","839 Market St","1881","Ida Roberts"
"Miguel García","butcher","337 Market St","1895","Concepción Ramos"
"Wilhelm Schulz","barber","314 Navarro St","1881","Grace Wright"
"Isidro Ramos","blacksmith","191 Commerce St","1891","Petra García"
"Johann Schwarz","teamster","1172 Santa Rosa St","1881",""
"Gustav Klein","merchant","907 Market St","1901",""
"Frederick Nelson","carpenter","776 Alamo Plaza","1895","Marta Braun"
"Ernesto Pérez","druggist","503 Flores St","1895","Josefa Vásquez"
"José Martínez","attorney","113 Commerce St","1895",""
"George Mitchell","merchant","1178 Alamo Plaza","1891","Bertha Jackson"
"Bruno Hartmann","printer","571 Houston St","1881","Else Klein"
"Gerhard Hoffmann","physician","661 Houston St","1925",""
"Bernardo Rodríguez","teamster","204 Flores St","1885",""
"Conrad Schwarz","minister","730 Alamo Plaza","1905",""
"José García","teacher","144 Alamo Plaza","1920",""
"Antonio Cantu","saloon keeper","412 Santa Rosa St","1891",""
"Karl Weber","clerk","335 Commerce St","1901","Sarah Davis"
"Franz Bergmann","clerk","504 Flores St","1877",""
"Ignacio Cruz","laborer","445 Houston St","1910","Esperanza López"
"Harold Baker","druggist","776 Soledad St","1877",""
"Ernesto Domínguez","minister","316 Soledad St","1915","Ramona Domínguez"
"Florencio Molina","minister","507 Commerce St","1877",""
"Hermann Neumann","teamster","755 Market St","1905",""
"Kieran Flanagan","blacksmith","579 Soledad St","1885","Lupe Castillo"
"José Ortiz","teamster","284 Soledad St","1885","Mary Thomas"
"Miguel Cantu","saloon keeper","300 Soledad St","1920",""
"Thomas Wright","blacksmith","262 Alamo Plaza","1915","Ramona Domínguez"
"Klaus Richter","laborer","594 Alamo Plaza","1925","Bertha Bauer"
"Miguel Ramos","teamster","392 Laredo St","1905",""
"Adolph Bauer","baker","122 Santa Rosa St","1895",""
"José Morales","physician","734 Flores St","1920","Angela Moreno"
"Clarence Carter","laborer","196 Laredo St","1925","Carmen Ramos"
"Bruno Lange","farmer","238 Alamo Plaza","1885","Louisa Fischer"
"Harold Johnson","tailor","447 Soledad St","1895","María Díaz"
"Eusebio Garza","teamster","309 Alamo Plaza","1915","Edith Scott"
"Clarence Smith","printer","139 Houston St","1891",""
"Samuel Carter","minister","703 Laredo St","1895",""
"Robert Brown","physician","461 Market St","1895",""
"Eugene Davis","barber","303 Santa Rosa St","1920","Angela Molina"
"Otto Zimmermann","tailor","420 Market St","1915",""
"Ignacio Martínez","teamster","419 Houston St","1910",""
"Frederick Green","minister","844 Commerce St","1901","Ramona Reyes"
"William Wright","barber","715 Commerce St","1905","Bertha Thomas"
"Wilhelm Schroeder","farmer","185 Laredo St","1895","Mabel Allen"
"Henry Anderson","carpenter","150 Commerce St","1920","Josefa Domínguez"
"Hermann Hartmann","minister","1172 Market St","1920","Francisca Cruz"
"Joseph Baker","butcher","573 Houston St","1925","Teresa Sánchez"
"Friedrich Bergmann","teamster","579 Alamo Plaza","1881","Brigid Murphy"
"Manuel Herrera","teacher","668 Santa Rosa St","1905","Helene Wolf"
"Arthur Anderson","saloon keeper","849 Commerce St","1910",""
"Joseph Thompson","tailor","154 Soledad St","1910","Mathilde Schmidt"
"John Williams","teacher","1191 Market St","1920","Helene Zimmermann"
"William Wilson","laborer","231 Houston St","1910","Elena Vásquez"
"Ernesto Pérez","physician","1071 Laredo St","1925","Pearl Jones"
"Carlos Hernández","attorney","606 Market St","1885","Lupe López"
"Friedrich Bauer","saloon keeper","776 Navarro St","1877","Grace Baker"
"Charles Carter","blacksmith","957 Flores St","1901","Pearl Adams"
"Harold Moore","farmer","505 Flores St","1925",""
"Liam O'Brien","clerk","284 Flores St","1915","Ida Wright"
"Pedro Vásquez","laborer","350 Commerce St","1877","Bessie Thompson"
"Conrad Meyer","minister","345 Market St","1901","Frieda Zimmermann"
"Ernst Klein","clerk","537 Commerce St","1915","Bertha Lange"
"Ignacio Chávez","blacksmith","356 Soledad St","1885",""
"Manuel Garza","butcher","379 Commerce St","1910","Lena Zimmermann"
"Hans Schäfer","minister","669 Commerce St","1881",""
"Bruno Zimmermann","laborer","888 Flores St","1885",""
"Frederick Wilson","butcher","1021 Soledad St","1877","Ida Werner"
"Florencio Flores","laborer","800 Laredo St","1877","Wilhelmine Bauer"
"Henry Moore","carpenter","1072 Flores St","1877","Louisa Martin"
"Bernardo Cruz","tailor","353 Market St","1885","Grace Jackson"
"Hermann Weidemann","saloon keeper","1107 Laredo St","1910","Elena Chávez"
"Henry Taylor","saloon keeper","351 Commerce St","1881","Esperanza Rodríguez"
"Tomás Ortiz","clerk","210 Laredo St","1895","Margarita Ramos"
"Rafael Vásquez","druggist","379 Alamo Plaza","1910",""
"Walter Krüger","printer","137 Laredo St","1901",""
"Hans Richter","barber","108 Santa Rosa St","1891",""
"Clarence Green","stockman","118 Flores St","1920",""
"Henry Thompson","clerk","1138 Laredo St","1915",""
"Klaus Hartmann","blacksmith","1005 Alamo Plaza","1891",""
"Brendan Burke","printer","317 Market St","1881","Lena Wagner"
"Karl Lange","farmer","148 Alamo Plaza","1891",""
"Conrad Steinemann","barber","132 Soledad St","1891","Ramona Treviño"
"Miguel Cruz","laborer","1132 Laredo St","1925",""
"Rafael Ramos","druggist","643 Santa Rosa St","1881","Mary King"
"Walter Klein","farmer","321 Houston St","1885","Catalina Pérez"
"Andrés Moreno","merchant","319 Houston St","1901",""
"Gregorio Díaz","teacher","796 Flores St","1920","Ruth Johnson"
"Miguel Martínez","tailor","375 Laredo St","1910",""
"Hans Neumann","tailor","1197 Navarro St","1877","Emilie Richter"
"Gregorio Ortiz","clerk","1082 Soledad St","1901","Clara Braun"
"Eugene Davis","butcher","219 Flores St","1920","Mary Taylor"
"Bernardo Treviño","printer","1198 Navarro St","1877","María Morales"
"Emil Schmidt","merchant","468 Santa Rosa St","1901","Lupe Medina"
"William Smith","tailor","1157 Laredo St","1891",""
"Charles White","barber","405 Navarro St","1881","Anna Braun"
"Rafael Ramos","baker","312 Navarro St","1877","Catalina Reyes"
"Andrés Rodríguez","butcher","510 Soledad St","1915","Concepción Martínez"
"Guadalupe Flores","druggist","997 Laredo St","1885","Bessie Young"
"Charles Perez","butcher","330 Alamo Plaza","1910","Margarita Torres"
"Luis Torres","clerk","1174 Commerce St","1915","Esperanza Morales"
"Ramón Hernández","tailor","315 Navarro St","1901",""
"Andrés Garza","druggist","461 Market St","1905","Marta Neumann"
"Emil Lange","teacher","816 Laredo St","1885",""
"Klaus Schwarz","clerk","188 Market St","1895","Emilie Schwarz"
"Francisco Rivera","barber","271 Flores St","1895","Lena Koch"
"Eugene Roberts","merchant","223 Flores St","1915","Sarah Nelson"
"John Mitchell","laborer","211 Houston St","1885","Carmen Cantu"
"Ludwig Lehmann","teamster","412 Navarro St","1915","Elena Reyes"
"Walter Allen","stockman","131 Alamo Plaza","1885","Rosa Morales"
"Eusebio Ramos","printer","287 Navarro St","1910",""
"Francisco Gutiérrez","blacksmith","748 Laredo St","1877","Rosa López"
"Joseph Nelson","farmer","802 Santa Rosa St","1920","Frieda Mueller"
"Ludwig Werner","teamster","944 Houston St","1895","Elena García"
"Manuel Reyes","tailor","1124 Houston St","1920","Louisa Wolf"
"Edward Green","baker","444 Navarro St","1901","Olga Meyer"
"Gustav Bauer","farmer","817 Market St","1885","Remedios Herrera"
"Heinrich Koch","saloon keeper","121 Alamo Plaza","1885",""
"Ernst Schäfer","tailor","916 Alamo Plaza","1920","Elena Reyes"
"Florencio Treviño","minister","748 Laredo St","1885","Elvira Treviño"
"Richard Scott","farmer","198 Alamo Plaza","1891",""
"Eusebio Ramos","laborer","875 Laredo St","1915",""
"Emil Fischer","minister","1138 Alamo Plaza","1915","Guadalupe Domínguez"
"Tomás Gutiérrez","attorney","678 Houston St","1877",""
"James Brown","teacher","204 Houston St","1881","Consuelo Cruz"
"Gerhard Klein","stockman","711 Flores St","1905","Wilhelmine Hoffmann"
"Thomas Mitchell","baker","590 Houston St","1885","Bertha Smith"
"Isidro Molina","merchant","748 Flores St","1920","Helen Nelson"
"Samuel Green","physician","626 Flores St","1920","Josefa Rodríguez"
"Guadalupe García","merchant","837 Navarro St","1925",""
"Héctor Hernández","druggist","292 Santa Rosa St","1910","Amparo Gutiérrez"
"Héctor Ortiz","butcher","568 Santa Rosa St","1920","Remedios Gutiérrez"
"Manuel Gutiérrez","physician","1093 Commerce St","1925",""
"Ignacio Reyes","druggist","1137 Commerce St","1901",""
"Michael Connelly","attorney","314 Santa Rosa St","1920",""
"Albert Roberts","baker","178 Commerce St","1905",""
"Otto Weber","druggist","488 Commerce St","1925",""
"Patrick Ryan","tailor","1090 Soledad St","1915",""
"Karl Schmitt","barber","1200 Commerce St","1891",""
"Juan Cruz","minister","581 Laredo St","1901",""
"Bruno Weber","teacher","102 Houston St","1885","Teresa Moreno"
"Jesús Ramos","blacksmith","233 Navarro St","1895","Juana Martínez"
"Emil Zimmermann","carpenter","781 Navarro St","1905",""
"Ignacio Martínez","barber","911 Flores St","1910",""
"Isidro Sánchez","clerk","1072 Houston St","1910","Nora Connelly"
"Gustav Lange","teamster","1194 Houston St","1877",""
"Clarence Allen","saloon keeper","228 Flores St","1925",""
"Charles Williams","stockman","828 Market St","1885",""
"Emil Lange","teamster","998 Commerce St","1901",""
"Francisco Hernández","tailor","879 Houston St","1881",""
