First Name,Last Name,Name Prefix,Name Suffix,File Name,Email,Telephone,Cell Phone,Address 1,Address 2,City,State / Province,Postal Code,Country,Member Active,Member Join Date,Expiration Date,Membership Plan,Membership Type,Your Skills,Your Interests,Volunteering?,Administrative Notes,Joint Member,Email of Joint,Mbr. List - Show Name,Mbr. List - Show Address,Mbr. List - Show Phone,Mbr. List - Show Email,Birth Year,Gender
Caleb,Thorson,,,,caleb_thorson@westriv.com,701-862-2295,,6179 1st Ave N,,Washburn,ND,58577,US,No,01/24/2016,09/09/2025,Individual,Individual,,"Railroad history, Cemetery preservation, German-Russian heritage",No,,,,Yes,Yes,Yes,Yes,,Male
Megan,Larson,,,,meganl@outlook.com,701-239-5486,,2495 Central Ave,,Wahpeton,ND,58075,US,Yes,07/19/2017,08/14/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1994,Female
Owen,Sather,,,,owen.sather@bektel.com,701-342-4083,,6002 Division St,Unit C,Oakes,ND,58474,US,Yes,09/18/2025,11/05/2027,Family,Individual,"Database management, Norwegian translation","Frontier medicine, Native American history, Pioneer women",No,,Lily Sather,lilys@gondtc.com,Yes,Yes,Yes,Yes,,Male
Shirley,Vogt,,,,shirley_vogt@ndsupernet.com,,701-931-7870,3778 Birch St,Unit D,Hazen,ND,58545,US,Yes,03/30/2013,10/25/2027,Family,Individual,Writing,,Yes,,James Vogt,james.vogt@yahoo.com,Yes,Yes,No,Yes,1970,Female
Angela,Engen,,,,angelae@westriv.com,,701-303-5408,3028 Industrial Blvd,Apt 4,Minot,ND,58703,US,Yes,03/03/2016,01/21/2027,Individual,Individual,Public speaking,"Military history, Pioneer women, Town histories",No,,,,Yes,Yes,No,Yes,1950,Female
Lincoln,Ringness,,,,lincolnr@yahoo.com,,,2075 Meadow Ln,Unit D,Minot,ND,58701,US,Yes,03/30/2013,08/12/2026,Individual,Individual,"DNA analysis, Newspaper research",,No,,,,Yes,Yes,No,Yes,,Male
,,,,Ransom County Historical Museum,info@ransomcountyhistoric.org,701-697-4510,,8934 4th Ave NE,PO Box 840,Fargo,ND,58103,US,Yes,10/06/2020,06/08/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Luke,Fischer,,,,luke_fischer@westriv.com,,701-237-6890,8896 Rosewood Ln,,Ashley,ND,58413,US,No,09/18/2016,08/03/2025,Student,Individual,,,No,,,,Yes,Yes,No,No,2005,Male
Isaac,Oberg,,,,obergi@restel.com,701-781-8521,,2497 Heritage Ln,,New Salem,ND,58563,US,Yes,08/18/2014,03/26/2027,Individual,Individual,,,Yes,,,,Yes,Yes,Yes,Yes,,Male
,,,,Stark County Historical Society,info@starkcountyhistorica.org,701-616-8956,,7986 River Rd,Suite 200,Fargo,ND,58104,US,Yes,06/14/2023,09/24/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Anthony,Aanderud,,,,aanderuda@restel.com,701-924-8172,,8686 Railway Ave,,Wishek,ND,58495,US,Yes,12/02/2012,09/04/2027,Individual,Individual,"Genealogy software, Website design, Courthouse research",,No,,,,Yes,No,Yes,Yes,,Male
Lisa,Halvorson,,,,lhalvorson@outlook.com,701-348-1560,,6408 Oak Ave,,Northwood,ND,58267,US,Yes,03/10/2023,04/10/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1996,Female
Zoey,Severson,,,,seversonz@gondtc.com,701-578-9622,701-772-9502,6568 Heritage Ln,Unit D,Beach,ND,58621,US,Yes,05/12/2014,05/02/2027,Individual,Individual,,,Yes,,,,Yes,Yes,No,Yes,1945,Female
Katherine,Reistad,,,,reistadk@westriv.com,701-416-5946,701-547-7292,3047 Central Ave,,Ashley,ND,58413,US,Yes,08/10/2013,05/22/2027,Family,Individual,,"Military history, DNA genealogy, Frontier medicine",No,,Bryan Reistad,reistadb@gmail.com,Yes,No,No,Yes,1965,Female
Dorothy,Stricklin,,,,dstricklin@polarcomm.com,,701-399-9199,2063 Country Club Rd,,Devils Lake,ND,58301,US,Yes,07/12/2019,08/31/2026,Family,Individual,,,No,,Howard Stricklin,howard_stricklin@protonmail.com,Yes,Yes,No,Yes,,Female
Helen,Vold,,,,helen_vold@protonmail.com,701-434-1339,,4515 Valley View Rd,,Cooperstown,ND,58425,US,No,05/30/2017,02/16/2026,Student,Individual,,,Yes,,,,Yes,No,No,Yes,1998,Female
Kevin,Nordstrom,,,,kevinn@hotmail.com,701-938-5247,701-329-5403,2034 Broadway,,Beulah,ND,58523,US,Yes,05/08/2017,07/30/2026,Individual,Individual,"Public speaking, Norwegian translation, Land records",,No,,,,Yes,No,Yes,No,1948,Male
David,Carlson,,,,david.carlson@bektel.com,,701-848-9834,9596 Meadow Ln,,Hazen,ND,58545,US,Yes,10/17/2013,10/24/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1979,Male
Ethan,Grandahl,,,,ethang@mail.com,701-827-3509,,2998 4th Ave NE,,Hillsboro,ND,58045,US,Yes,10/31/2024,07/02/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1995,Male
Avery,Sandberg,Ms.,,,averys@polarcomm.com,,,7163 Pioneer Way,Unit D,Medora,ND,58645,US,No,09/05/2018,08/30/2025,Student,Individual,Immigration records,,No,,,,Yes,Yes,Yes,Yes,2004,Female
Madison,Vold,,,,madisonv@hotmail.com,701-255-9992,701-762-2198,4862 Elm St,,Hillsboro,ND,58045,US,Yes,02/17/2025,04/28/2026,Individual,Individual,,,Yes,,,,Yes,Yes,Yes,Yes,,Female
Donald,Ehrenberg,,Sr.,,dehrenberg@bektel.com,,701-417-4041,3392 Oak Ave,,Hazen,ND,58545,US,Yes,09/12/2016,07/13/2027,Family,Individual,,Church records,No,,Layla Ehrenberg,lehrenberg@westriv.com,Yes,No,Yes,Yes,1951,Male
Dennis,Johnson,Ms.,,,dennisj@gondtc.com,701-307-5840,701-287-2901,2421 Cedar Ct,,Tioga,ND,58852,US,Yes,08/27/2021,09/17/2026,Family,Individual,,,No,,Catherine Johnson,catherine_johnson@gondtc.com,Yes,Yes,No,Yes,,Male
Julie,Gunderson,Ms.,,,julieg@ndsupernet.com,701-541-6215,,3092 Valley View Rd,,Garrison,ND,58540,US,Yes,02/15/2021,06/24/2026,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,,Female
Layla,Hagen,,,,layla.hagen@bektel.com,701-670-1266,701-361-8230,7579 Main St,Unit B,Mayville,ND,58257,US,Yes,12/02/2020,01/10/2027,Individual,Individual,,"One-room schoolhouses, Town histories",No,,,,Yes,No,No,Yes,1961,Female
Noah,Morken,,,,morkenn@aol.com,701-590-1056,,6449 Valley View Rd,Unit B,Watford City,ND,58854,US,Yes,04/09/2013,09/23/2026,Individual,Individual,,,Yes,,,,Yes,Yes,Yes,Yes,,Male
Carolyn,Quale,,Sr.,,qualec@westriv.com,,701-891-4675,9295 Country Club Rd,Unit C,Crosby,ND,58730,US,Yes,06/22/2021,06/14/2026,Individual,Individual,Digital scanning,Pioneer women,No,,,,Yes,Yes,No,Yes,1990,Female
Jacob,Lehmann,,,,lehmannj@gondtc.com,701-824-4626,,7706 Meadow Ln,,Mayville,ND,58257,US,Yes,11/06/2020,06/15/2026,Family,Individual,,,No,,Mia Lehmann,mia.lehmann@bektel.com,Yes,Yes,No,No,,Male
Douglas,Ulrich,,,,dulrich@midco.net,701-381-1029,,9485 Airport Rd,,Grand Forks,ND,58201,US,Yes,10/18/2021,10/12/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,1977,Male
Joan,Stricklin,,,,stricklinj@protonmail.com,701-351-1090,,1846 Central Ave,Unit B,West Fargo,ND,58078,US,Yes,11/20/2025,05/10/2027,Family,Individual,"Newspaper research, Digital scanning",DNA genealogy,No,,Colton Stricklin,colton_stricklin@hotmail.com,Yes,Yes,No,Yes,1980,Female
Bryan,Schultz,Dr.,,,bryans@gmail.com,701-424-7363,701-377-3885,3975 Lakeview Dr,Apt 11,Carrington,ND,58421,US,Yes,08/28/2012,03/15/2027,Individual,Individual,,,No,,,,Yes,Yes,No,No,,Male
Ethan,Huber,,,,ethan_huber@outlook.com,701-298-3750,,821 Division St,,Northwood,ND,58267,US,Yes,12/16/2021,07/24/2026,Family,Individual,,Frontier medicine,No,,Jennifer Huber,jennifer.huber@westriv.com,Yes,Yes,Yes,Yes,,Male
Robert,Keller,,,,rkeller@westriv.com,701-282-1519,701-588-7179,9155 Park Ave,Unit A,Ashley,ND,58413,US,No,11/18/2019,04/19/2025,Family,Individual,,,No,,Diane Keller,dianek@hotmail.com,Yes,Yes,Yes,Yes,,Male
Emily,Williams,,,,ewilliams@polarcomm.com,,,5239 Valley View Rd,,Linton,ND,58552,US,Yes,12/19/2017,09/04/2026,Family,Individual,,,Yes,,Ryan Williams,williamsr@gmail.com,Yes,Yes,No,No,1967,Female
Sandra,Richter,,,,srichter@midco.net,701-881-4977,701-480-8167,901 Heritage Ln,,Bismarck,ND,58501,US,Yes,04/19/2015,10/05/2026,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,1952,Female
Gregory,Gunderson,,,,gregory_gunderson@restel.com,701-419-3721,,4650 5th St S,,Fargo,ND,58102,US,Yes,05/03/2019,04/06/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,1959,Male
Anna,Richter,,,,anna.richter@msn.com,701-542-4909,,7939 Lakeview Dr,,Kenmare,ND,58746,US,Yes,07/13/2019,07/27/2026,Individual,Individual,,"Frontier medicine, Cemetery preservation",No,,,,Yes,No,No,Yes,1975,Female
Joshua,Schaefer,,,,joshua.schaefer@gmail.com,701-711-9782,701-727-4963,2452 Dakota Ave,Apt 14,Crosby,ND,58730,US,Yes,03/12/2026,03/12/2027,Individual,Individual,,,Yes,,,,Yes,Yes,No,Yes,1943,Male
,,,,Rolette County Historical Society,info@rolettecountyhistori.org,701-394-9786,,7450 4th Ave NE,,Steele,ND,58482,US,Yes,08/30/2024,10/07/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Janice,Wold,,,,jwold@yahoo.com,701-676-3418,701-591-3571,9829 Washington St,,Grand Forks,ND,58203,US,Yes,04/22/2023,03/17/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1958,Female
Emily,Dahl,,,,edahl@drtel.net,701-430-4014,,5603 Washington St,,Wishek,ND,58495,US,Yes,02/17/2019,07/15/2026,Family,Individual,,,No,,Jack Dahl,jdahl@restel.com,Yes,Yes,Yes,No,,Female
Cheryl,Reistad,,,,cherylr@westriv.com,701-334-1284,701-519-6940,2377 Washington St,,Cavalier,ND,58220,US,Yes,08/28/2015,09/13/2026,Family,Individual,,,No,,Ralph Reistad,reistadr@polarcomm.com,Yes,No,Yes,No,,Female
Catherine,Zimmerman,,,,czimmerman@midco.net,701-455-9005,,417 Birch St,,Wahpeton,ND,58075,US,Yes,01/04/2019,10/01/2027,Individual,Individual,,Railroad history,No,,,,Yes,Yes,No,Yes,,Female
Brandon,Iverson,,,,brandon.iverson@msn.com,701-352-7619,701-321-4946,6598 Church St,Unit B,Mandan,ND,58554,US,Yes,11/28/2024,09/13/2026,Individual,Individual,"Bookkeeping, DNA analysis",,Yes,,,,Yes,Yes,No,Yes,1943,Male
Catherine,Sather,,,,csather@aol.com,,,7886 Rosewood Ln,Apt 5,Watford City,ND,58854,US,Yes,06/17/2021,07/20/2026,Individual,Individual,Event planning,,Yes,,,,Yes,Yes,No,Yes,,Female
Joshua,Haugen,,,,jhaugen@live.com,701-672-1829,701-787-8096,6571 Church St,Unit D,Bismarck,ND,58501,US,Yes,03/05/2019,04/17/2026,Individual,Individual,"Military records, Swedish translation, German translation",,Yes,,,,Yes,Yes,No,No,,Male
Henry,Severson,,,,henry_severson@gmail.com,701-434-2474,,2701 1st Ave N,,Bottineau,ND,58318,US,Yes,12/27/2021,08/09/2027,Individual,Individual,"Military records, Genealogy software",Fur trade era,No,,,,Yes,Yes,Yes,Yes,1991,Male
Lucas,Lehmann,,,,lucas.lehmann@gmail.com,701-825-2946,701-299-7453,6214 Maple Ave,,Crosby,ND,58730,US,Yes,12/06/2017,06/10/2027,Individual,Individual,,,Yes,,,,Yes,Yes,No,No,1972,Male
Helen,Paulson,,,,paulsonh@hotmail.com,,701-569-7651,8979 2nd Ave S,Apt 9,Enderlin,ND,58027,US,Yes,03/31/2024,04/01/2027,Individual,Individual,"Social media, Norwegian translation","Homesteading era, One-room schoolhouses",No,,,,Yes,Yes,No,Yes,1944,Female
Virginia,Iverson,,,,viverson@icloud.com,701-494-9955,701-652-6661,9726 Meadow Ln,,Wahpeton,ND,58075,US,No,10/07/2023,01/07/2026,Individual,Individual,,,No,,,,Yes,Yes,No,No,,Female
,,,,McLean County Historical Society,info@mcleancountyhistoric.org,701-780-2290,,1503 Church St,,Steele,ND,58482,US,Yes,06/13/2018,11/01/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Ella,Pedersen,,,,epedersen@protonmail.com,701-318-3603,,8104 Elm St,,Oakes,ND,58474,US,Yes,02/11/2018,07/25/2027,Family,Individual,,Immigration patterns,No,,John Pedersen,john.pedersen@gondtc.com,Yes,Yes,No,Yes,,Female
Jesse,Kraft,,,,jesse_kraft@live.com,701-696-1890,,2474 River Rd,,Grand Forks,ND,58203,US,Yes,04/24/2019,08/04/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,,Male
,,,,Dakota Territory Museum,info@dakotaterritorymuseu.org,701-503-4566,,1058 Lakeview Dr,PO Box 853,Bowman,ND,58623,US,Yes,01/21/2023,10/06/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Cheryl,Zimmerman,,,,cherylz@aol.com,701-363-7865,701-398-5072,5841 Elm St,,Crosby,ND,58730,US,Yes,03/14/2026,03/14/2027,Individual,Individual,"Public speaking, Swedish translation, Norwegian translation",,Yes,,,,Yes,No,No,No,1950,Female
Eugene,Severson,,,,seversone@icloud.com,,701-840-6591,6335 2nd Ave S,,Crosby,ND,58730,US,No,07/20/2019,07/13/2025,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1977,Male
Jordan,Berger,,,,jberger@westriv.com,701-977-8505,,5554 Hillside Dr,Apt 2,Kenmare,ND,58746,US,Yes,09/01/2017,12/14/2026,Patron,Individual,,"Military history, German-Russian heritage",No,,,,Yes,Yes,No,Yes,,Male
Debra,Wold,,,,debraw@midco.net,,701-916-5072,6136 Washington St,Apt 20,Oakes,ND,58474,US,Yes,02/07/2020,07/14/2027,Individual,Individual,,Norwegian immigration,No,,,,Yes,No,Yes,Yes,,Female
Kenneth,Hedstrom,Mrs.,,,kenneth.hedstrom@icloud.com,701-829-1710,,8643 Meadow Ln,,Harvey,ND,58341,US,Yes,07/30/2012,10/13/2026,Individual,Individual,"Norwegian translation, Courthouse research",,No,,,,Yes,Yes,No,Yes,1989,Male
Noah,Oberg,,,,obergn@westriv.com,701-984-4809,,1473 Dakota Ave,,Ashley,ND,58413,US,Yes,12/21/2012,11/25/2027,Individual,Individual,,,No,,,,Yes,No,No,Yes,,Male
Judith,Gustafson,,,,gustafsonj@hotmail.com,,,5034 Cedar Ct,Apt 14,Bismarck,ND,58501,US,Yes,05/02/2021,10/01/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Female
Scarlett,Thompson,,,,scarlett.thompson@bektel.com,701-800-4538,,3917 Maple Ave,,Harvey,ND,58341,US,Yes,04/03/2016,10/04/2026,Patron,Individual,Teaching,,Yes,Board Member,,,Yes,No,Yes,No,1948,Female
Andrew,Weiss,Mr.,,,aweiss@aol.com,701-272-6593,,771 Country Club Rd,Unit A,Cooperstown,ND,58425,US,Yes,03/06/2018,05/02/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1968,Male
Henry,Brunsdale,,,,brunsdaleh@midco.net,701-807-3507,701-924-9907,1390 Valley View Rd,Unit A,Williston,ND,58801,US,No,02/12/2015,06/27/2025,Individual,Individual,"Census research, Social media, Teaching",,No,,,,Yes,Yes,Yes,Yes,1960,Male
Amelia,Sather,,,,amelia_sather@hotmail.com,701-957-5801,701-624-3580,6968 University Dr,Unit B,Jamestown,ND,58401,US,Yes,05/09/2012,03/09/2027,Individual,Individual,DNA analysis,,Yes,,,,Yes,Yes,Yes,Yes,1984,Female
Howard,Schultz,,,,howards@gondtc.com,701-391-2231,701-365-2511,8153 Lakeview Dr,,Fargo,ND,58102,US,Yes,02/13/2014,08/16/2027,Individual,Individual,Bookkeeping,County histories,No,,,,Yes,No,No,Yes,1949,Male
Henry,Lee,,,,hlee@polarcomm.com,,701-575-4616,1261 Main St,,Garrison,ND,58540,US,Yes,03/27/2019,07/25/2027,Family,Individual,,Military history,No,,Judith Lee,judith.lee@msn.com,Yes,No,No,Yes,1981,Male
,,,,Stutsman County Memorial Museum,info@stutsmancountymemori.org,701-605-8517,,2440 Heritage Ln,,Northwood,ND,58267,US,Yes,07/12/2018,03/13/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Lawrence,Bakken,,,,lawrenceb@hotmail.com,,701-853-9728,7206 Valley View Rd,,Mandan,ND,58554,US,Yes,09/22/2018,08/18/2027,Individual,Individual,,"Cemetery preservation, Town histories, Military history",No,,,,Yes,Yes,Yes,No,1951,Male
Heather,Rasmussen,,,,heatherr@yahoo.com,701-238-5350,,1182 Prairie Dr,Unit B,Hillsboro,ND,58045,US,Yes,03/10/2026,03/10/2027,Individual,Individual,,,Yes,,,,Yes,No,Yes,No,1956,Female
,,,,Red River Valley Genealogical Society,info@redrivervalleygeneal.org,701-281-4814,,1754 Country Club Rd,Suite 200,Bismarck,ND,58504,US,Yes,06/01/2022,11/26/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Brandon,Thorson,,,,bthorson@hotmail.com,701-536-2056,701-818-8967,3583 Park Ave,,West Fargo,ND,58078,US,Yes,05/14/2022,09/04/2026,Individual,Individual,,,Yes,,,,Yes,No,No,Yes,1946,Male
Hunter,Hovland,,,,hunter_hovland@bektel.com,,701-549-9850,2712 Valley View Rd,Unit B,Beach,ND,58621,US,No,12/04/2023,07/08/2025,Individual,Individual,,,No,,,,Yes,No,Yes,No,,Male
Mary,Wagner,,,,mary_wagner@icloud.com,701-850-9904,701-685-1549,4669 Central Ave,,Medora,ND,58645,US,No,07/04/2016,06/02/2025,Family,Individual,,"Native American history, Bonanza farming",Yes,,Paul Wagner,paul_wagner@gmail.com,Yes,Yes,Yes,Yes,1990,Female
,,,,LaMoure County Historical Society,info@lamourecountyhistori.org,701-260-4750,,1204 Front St,,Jamestown,ND,58401,US,Yes,01/30/2015,05/20/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Sara,Haugen,,,,sara_haugen@westriv.com,701-628-3955,701-349-1471,4854 Heritage Ln,,Bismarck,ND,58501,US,Yes,01/31/2023,09/30/2026,Family,Individual,,,No,,Tyler Haugen,tyler_haugen@aol.com,Yes,Yes,No,Yes,,Female
Michael,Quale,,,,michael_quale@midco.net,701-341-9869,,3414 4th Ave NE,,Valley City,ND,58072,US,Yes,12/20/2013,06/27/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,1959,Male
Levi,Engen,Mrs.,,,levi_engen@protonmail.com,,,2088 State St,,Mandan,ND,58554,US,Yes,07/25/2024,04/09/2026,Individual,Individual,,"One-room schoolhouses, Frontier medicine, Homesteading era",No,,,,Yes,No,No,Yes,1950,Male
Roy,Haugen,,,,roy.haugen@protonmail.com,701-767-2072,701-574-3316,4023 Church St,,Steele,ND,58482,US,Yes,01/17/2016,11/13/2027,Patron,Individual,Public speaking,,No,,,,Yes,Yes,Yes,Yes,,Male
Ralph,Dahlgren,,,,dahlgrenr@drtel.net,701-281-6766,,1352 Willow Dr,,Wishek,ND,58495,US,Yes,01/14/2018,12/17/2026,Individual,Individual,Social media,,No,,,,Yes,Yes,Yes,No,1947,Male
Mark,Berger,,,,markb@outlook.com,,,3240 Industrial Blvd,,Beach,ND,58621,US,Yes,11/04/2018,09/11/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,,Male
Madison,Zimmerman,,,,zimmermanm@hotmail.com,,701-560-9945,5646 University Dr,Unit D,Williston,ND,58801,US,Yes,07/08/2013,11/21/2027,Family,Individual,,"German-Russian heritage, County histories",No,,Robert Zimmerman,robert.zimmerman@bektel.com,Yes,Yes,Yes,Yes,1986,Female
Arthur,Hagen,,,,arthur.hagen@aol.com,701-329-4940,,8429 Rosewood Ln,,Linton,ND,58552,US,Yes,12/25/2020,04/27/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,,Male
Logan,Schultz,,,,schultzl@restel.com,701-775-3394,,5343 Church St,Unit B,Fargo,ND,58104,US,Yes,12/19/2017,08/08/2026,Individual,Individual,,Frontier medicine,No,,,,Yes,Yes,Yes,Yes,1955,Male
Ashley,Peterson,,,,ashley.peterson@outlook.com,701-446-4524,,897 Oak Ave,Apt 10,Park River,ND,58270,US,Yes,08/12/2020,08/03/2027,Individual,Individual,"Writing, Event planning",Immigration patterns,No,,,,Yes,Yes,Yes,Yes,,Female
Brian,Thompson,,,,thompsonb@aol.com,701-353-7243,,1385 Elm St,Apt 8,Bismarck,ND,58504,US,Yes,03/25/2026,03/25/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,,Male
Helen,Hansen,,,,hansenh@aol.com,701-254-6882,,8039 4th Ave NE,Apt 7,Williston,ND,58801,US,Yes,05/17/2025,10/20/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1950,Female
Ann,Dahlgren,,,,adahlgren@msn.com,701-243-9125,701-203-4654,3872 Lincoln Ave,,Oakes,ND,58474,US,Yes,08/29/2019,12/11/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Female
Kathleen,Schneider,,,,kathleens@aol.com,,,9177 Prairie Dr,Apt 15,Harvey,ND,58341,US,Yes,07/15/2017,12/04/2027,Individual,Individual,,,No,,,,Yes,No,No,Yes,1946,Female
Jason,Gustafson,Mr.,,,jason.gustafson@hotmail.com,701-719-1103,701-402-5313,2457 Industrial Blvd,Unit B,Williston,ND,58801,US,Yes,03/24/2017,01/02/2027,Individual,Individual,,Immigration patterns,No,,,,Yes,No,No,No,1958,Male
Patricia,Huber,,,,huberp@icloud.com,701-730-6918,701-665-1760,753 Birch St,Unit C,Wahpeton,ND,58075,US,No,01/04/2016,05/21/2025,Student,Individual,,"Immigration patterns, Frontier medicine, German-Russian heritage",No,,,,Yes,Yes,Yes,Yes,2005,Female
Liam,Williams,,,,liam.williams@aol.com,,,8411 Meadow Ln,,Bowman,ND,58623,US,Yes,08/18/2018,02/21/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1985,Male
Hannah,Schmidt,,,,hannah.schmidt@ndsupernet.com,701-510-7075,701-541-6798,5266 Washington St,Apt 10,Beulah,ND,58523,US,Yes,09/02/2025,01/02/2027,Family,Individual,"DNA analysis, Public speaking",,No,,Bruce Schmidt,schmidtb@ndsupernet.com,Yes,No,Yes,No,,Female
Scarlett,Lee,,,,slee@live.com,701-704-5501,701-982-9374,4691 Airport Rd,,Hettinger,ND,58639,US,Yes,08/20/2016,01/21/2027,Family,Individual,,Native American history,No,,Aiden Lee,leea@ndsupernet.com,Yes,Yes,Yes,Yes,1994,Female
Sandra,Halvorson,,,,shalvorson@polarcomm.com,,701-759-6618,5039 Park Ave,,Bowman,ND,58623,US,Yes,02/08/2020,11/24/2027,Individual,Individual,"Census research, Swedish translation, Cemetery transcription","Red River Valley history, Native American history, German-Russian heritage",No,,,,Yes,Yes,Yes,Yes,,Female
Abigail,Froelich,,,,abigailf@hotmail.com,701-488-7401,701-931-8356,2389 Airport Rd,Apt 14,Valley City,ND,58072,US,No,09/04/2022,09/25/2025,Individual,Individual,"Photography, Teaching, Oral history interviews",,Yes,,,,Yes,Yes,Yes,Yes,1980,Female
Christine,Lund,,,,lundc@polarcomm.com,701-411-3798,,1442 Park Ave,,Dickinson,ND,58601,US,Yes,04/25/2018,04/01/2027,Individual,Individual,,,Yes,,,,Yes,No,No,Yes,1958,Female
Frank,Zimmerman,,,,frank.zimmerman@drtel.net,701-554-3194,,1349 Meadow Ln,,Grand Forks,ND,58203,US,Yes,06/17/2020,05/08/2027,Individual,Individual,"Public speaking, Cemetery transcription",,No,,,,Yes,No,No,Yes,,Male
Thomas,Nelson,,,,thomasn@yahoo.com,,701-400-9752,6315 Broadway,,Hettinger,ND,58639,US,Yes,05/02/2021,08/22/2026,Individual,Individual,"Norwegian translation, Cemetery transcription, Genealogy software",,No,,,,Yes,No,No,Yes,1959,Male
Aiden,Bjerke,Mrs.,,,abjerke@bektel.com,701-936-6558,701-343-5560,5063 Airport Rd,,Park River,ND,58270,US,Yes,04/12/2022,03/11/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Male
Olivia,Hansen,,,,olivia.hansen@drtel.net,,701-855-8432,2651 State St,,Ellendale,ND,58436,US,Yes,09/17/2017,12/16/2027,Individual,Individual,"Church records, Genealogy software, Cemetery transcription","Town histories, County histories",No,,,,Yes,Yes,Yes,Yes,,Female
Roy,Grandahl,,,,royg@mail.com,701-810-5526,,8564 State St,Unit B,Langdon,ND,58249,US,Yes,12/10/2013,03/13/2027,Individual,Individual,,,Yes,Board President,,,Yes,Yes,Yes,Yes,,Male
Russell,Fischer,,,,russell_fischer@westriv.com,,,2248 Dakota Ave,Unit D,Valley City,ND,58072,US,No,03/31/2021,01/13/2026,Patron,Individual,"Event planning, Digital scanning",,No,,,,Yes,No,Yes,Yes,1977,Male
Maria,Richter,,,,richterm@westriv.com,701-246-1244,,4194 Oak Ave,,Minot,ND,58701,US,No,04/29/2015,10/11/2025,Individual,Individual,,"German-Russian heritage, DNA genealogy",No,,,,Yes,Yes,No,No,1954,Female
David,Wold,,,,david.wold@icloud.com,,,6660 Oak Ave,,Enderlin,ND,58027,US,Yes,07/02/2021,09/09/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1950,Male
Joshua,Schultz,,,,joshua_schultz@ndsupernet.com,701-421-1564,,8821 River Rd,Unit A,Bowman,ND,58623,US,No,05/15/2021,12/06/2025,Family,Individual,"DNA analysis, German translation",,Yes,,Ashley Schultz,ashley_schultz@polarcomm.com,Yes,No,No,Yes,1982,Male
Raymond,Helgeson,,,,rhelgeson@hotmail.com,,701-595-2847,4049 Church St,Apt 20,Wahpeton,ND,58075,US,Yes,06/16/2025,03/19/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1987,Male
Andrew,Zimmerman,,,,andrewz@aol.com,701-811-1131,701-496-5623,8061 1st Ave N,Apt 14,Hettinger,ND,58639,US,Yes,12/19/2020,10/27/2027,Individual,Individual,,Norwegian immigration,Yes,,,,Yes,No,Yes,Yes,1940,Male
Cheryl,Sather,,,,satherc@midco.net,701-522-1518,701-288-9143,3993 Willow Dr,,Hazen,ND,58545,US,Yes,09/02/2016,05/06/2027,Family,Individual,,,Yes,Webmaster,Tyler Sather,tsather@polarcomm.com,Yes,Yes,Yes,Yes,1964,Female
Joyce,Stricklin,,,,stricklinj@westriv.com,,,1705 Washington St,,Wahpeton,ND,58075,US,Yes,08/20/2021,05/04/2026,Individual,Individual,,,Yes,,,,Yes,Yes,Yes,Yes,,Female
Kevin,Zimmerman,,,,kevinz@midco.net,701-534-7174,,1749 1st Ave N,,Crosby,ND,58730,US,No,06/16/2019,06/29/2025,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,,Male
Diane,Meyer,,,,dianem@msn.com,701-643-8912,,3003 Lakeview Dr,,Langdon,ND,58249,US,No,07/10/2014,09/29/2025,Student,Individual,,,No,,,,Yes,Yes,Yes,Yes,2006,Female
