"File Name","Contact","Name Prefix","First Name","PreferredName","Middle Name","Maiden Name","UseMaiden","Last Name","Name Suffix","Member Active","Member Join Date","Login","Birth Year","Birth Month","Birth Day","Deceased","Image Filename","Address 1","Address 2","City","State / Province","Postal Code","Country","Telephone","Cell Phone","Toll Free Phone","International Phone","Preferred Phone","Fax","Email","Website","Alternate Address 1","Alt. Address 2","Alt. City","Alt. State / Province","Alt. Postal Code","Al. Country","Alt. Phone","Alt. International Phone","Alt. Preferred Phone","Alt. Email","Use Seasonal Address","Use Alt. Info Month Begin","Alt. Contact Day Begin","Use Alt. Info Month End","Alt. Contact Day End","Business Phone","Gender","Quarterly","Volunteering?","Joint Member","Email of Joint","Phone of Joint","Your Skills","Your Interests","Your Education","General Email","Event Email","Newsletter Email","Surname Inquiry","Mbr. List - Show Name","Mbr. List - Show Address","Mbr. List - Show Phone","Mbr. List - Show Email","Mbr. List - Show Photo","Membership Plan","Membership Type","Max Members","Lifetime","Membership Number","Mail Publications","Address Label Name","Amount Paid","Donation","Date Paid","Payment Type","Expiration Date","Comment","Acct. Primary","Membership Tie ID","Login Count","Last Login Date","Administrative Notes","Last Updated By","Last Updated Date","ENS Member Record ID"
"Jordan, Margarita","","","Margarita","","","","","Jordan","","Yes","02/04/2021","mjordan","1947","12","14","","margarita-jordan-member.jpg","5147 Bandera Rd","","San Antonio","TX","78211","USA","","(210) 555-7845","","","Cell Phone","","margaritajordan84@example.net","","","","","","","","","","","","","","","","","","F","Y","","","","","","Photo restoration and identification; King Ranch family history","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Jordan, Margarita","35.00","","06/02/2027","Check","06/30/2027","","Yes","","25","04/02/2025","Deceased member - do not contact","treasurer","06/13/2027","10132"
"Mohr, Norma","","","Norma","","","","","Mohr","","Yes","11/13/2012","nmohr","1978","6","11","","norma-mohr-member.jpg","7586 Walnut St","","Helotes","TX","78023","USA","","","","","","(210) 555-3013","mohrn@example.net","","","","","","","","","","","","","","","","","","F","","","","","","","","","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Single","Person","1","","","Yes","Mohr, Norma","35.00","","04/03/2027","Credit Card","06/30/2027","","Yes","","6","03/24/2026","","webmaster","06/27/2027","10133"
"Seidel, Klaus","","","Klaus","","Carmen","","","Seidel","","Yes","09/02/2023","kseidel","1945","9","19","","klaus-carmen-seidel-member.jpg","7748 Park Ave","","Dallas","TX","75248","USA","","(972) 555-4987","","","Cell Phone","","kseidel@example.com","","","","","","","","","","","","","","","","","","M","Y","","","","","","DAR membership research","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Single","Person","1","","","Yes","Seidel, Klaus","35.00","","04/18/2026","Cash","06/30/2026","","Yes","","43","06/18/2025","","admin","05/11/2026","10134"
"Contreras, Natalia","","","Natalia","","","","","Contreras","","No","06/24/1997","ncontreras","1955","2","10","","natalia-contreras-member.jpg","2187 Peachtree Rd","","Dallas","TX","75214","USA","(214) 555-9775","(214) 555-4110","","","Telephone","","contrerasn@example.org","","","","","","","","","","","","","","","","","","F","Y","","Valentin","vcontreras@example.org","(214) 555-9775","Oral history interviewing; Proofreading; Computer skills","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Joint","Person","2","","","Yes","Contreras, Natalia","45.00","","07/28/2022","PayPal","08/31/2022","","Yes","","0","","","admin","08/02/2022","10135"
"Fischer, Isabel","","","Isabel","","","","","Fischer","","Yes","03/28/2023","ifischer","1996","4","23","","isabel-fischer-member.jpg","9077 Zarzamora St","","Pleasanton","TX","78064","USA","(210) 555-7407","","","","Telephone","","ifischer1968@example.com","","","","","","","","","","","","","","","","","","F","","","","","","","","","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Single","Person","1","","","Yes","Fischer, Isabel","35.00","","05/01/2027","Check","06/30/2027","","Yes","","10","03/14/2026","","treasurer","06/11/2027","10136"
"Ortiz, Edward","","","Edward","","","","","Ortiz","","Yes","01/04/2005","eortiz","1943","2","12","","edward-ortiz-member.jpg","4114 Elm St","# 251","Houston","TX","77002","USA","(713) 555-7150","(713) 555-2468","","","Telephone","","edwardortiz36@example.net","","","","","","","","","","","","","","","","","","M","","","","","","Writing and editing; Website design; Map reading","","","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Single","Person","1","","","Yes","Ortiz, Edward","35.00","","04/06/2027","Check","06/30/2027","","Yes","","46","08/31/2025","Updated address 07/27/2020","treasurer","06/03/2027","10137"
"Hill, Judy","","","Judy","","Brian","","","Hill","","Yes","03/14/2019","jhill","1960","9","10","","judy-brian-hill-member.jpg","8850 Patriot Way","# 356","Jonesboro","AR","72401","USA","(870) 555-9818","","","","Telephone","","jhill@example.net","","","","","","","","","","","","","","","","","","F","","","","","","","","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Single","Person","1","","","Yes","Hill, Judy","35.00","","05/20/2026","Check","06/30/2026","","Yes","","33","10/26/2025","Requested paper newsletter instead of email","admin","06/11/2026","10138"
"Lopez, Ethan","","","Ethan","","Troy","","","Lopez","","Yes","04/09/2024","elopez","1941","6","25","","ethan-troy-lopez-member.jpg","2123 Loop 410","","San Antonio","TX","78256","USA","","(210) 555-2565","","","Cell Phone","","lopeze@example.net","","","","","","","","","","","","","","","","","","M","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Single","Person","1","","","Yes","Lopez, Ethan","35.00","","06/08/2026","PayPal","06/30/2026","","Yes","","24","01/31/2026","","secretary","06/06/2026","10139"
"Keller, Anthony","","","Anthony","","Carmen","","","Keller","","Yes","08/17/2024","akeller","1966","3","15","","anthony-carmen-keller-member.jpg","5100 Winter Garden Rd","","Fort Worth","TX","76101","USA","","(817) 555-2476","","","Cell Phone","","anthony.keller@example.net","","","","","","","","","","","","","","","","","","M","","","","","","Latin translation; Transcription","","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Single","Person","1","","","No","Keller, Anthony","35.00","","05/16/2027","Credit Card","06/30/2027","Paid by check #1119","Yes","","45","11/28/2025","","admin","05/01/2027","10140"
"Gonzalez, Leroy","","","Leroy","","","","","Gonzalez","","No","03/17/2024","lgonzalez","1968","4","6","","leroy-gonzalez-member.jpg","2893 Pecan Valley Dr","","San Antonio","TX","78245","USA","(210) 555-2931","(210) 555-5752","","","Telephone","","gonzalezl@example.org","","","","","","","","","","","","","","","","","","M","","","","","","Microfilm reader operation","","","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Single","Person","1","","","No","Gonzalez, Leroy","35.00","","01/23/2026","Cash","02/08/2026","","Yes","","0","","","admin","10/23/2025","10141"
"Chavez, Mildred","","","Mildred","","Wilhelm","","","Chavez","","Yes","09/26/2001","mchavez","1944","5","12","","mildred-wilhelm-chavez-member.jpg","2391 Goliad Rd","","San Antonio","TX","78213","USA","(210) 555-2813","","","","Telephone","","chavezm@example.com","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Single","Person","1","","","No","Chavez, Mildred","35.00","","06/07/2027","Credit Card","06/30/2027","","Yes","","28","01/02/2026","","admin","06/02/2027","10142"
"Perez, Evelyn","","","Evelyn","","","","","Perez","","No","04/20/2014","eperez","1943","5","16","","evelyn-perez-member.jpg","1984 Meadow Ln","","Austin","TX","78759","USA","(512) 555-2688","","","","Telephone","","eperez1989@example.net","","","","","","","","","","","","","","","","","","F","Y","","Patrick","pperez1990@example.com","(512) 555-2688","","Baptist church records; Organizing family reunions","MA Library Science, University of North Texas","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Joint","Person","2","","","Yes","Perez, Evelyn","45.00","","12/03/2024","Cash","02/16/2025","","Yes","","0","","","admin","12/31/2024","10143"
"White, Patrick","","","Patrick","","Craig","","","White","","Yes","06/11/2020","pwhite","1954","7","6","","patrick-craig-white-member.jpg","2234 Heritage Dr","","Jackson","MS","39201","USA","","(601) 555-7088","","","Cell Phone","","whitep@example.com","","","","","","","","","","","","","","","","","","M","Y","","","","","Microfilm reader operation; Grant writing; Teaching","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Single","Person","1","","","No","White, Patrick","35.00","","06/06/2027","Check","06/30/2027","Paid by check #5137","Yes","","43","06/16/2025","","admin","06/24/2027","10144"
"Cole, Lupe","","","Lupe","","","Scott","Not Used","Cole","","Yes","12/27/2003","lcole","1963","1","26","","lupe-cole-member.jpg","2811 Patriot Way","","Las Cruces","NM","88001","USA","(575) 555-5448","(575) 555-4390","","","Cell Phone","","lcole@example.com","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Cole, Lupe","35.00","","04/18/2027","Cash","06/30/2027","","Yes","","32","02/15/2026","","admin","05/18/2027","10145"
"Flores, Cynthia","","","Cynthia","","Maria","","","Flores","","Yes","01/27/2025","cflores","1975","5","11","","cynthia-maria-flores-member.jpg","8904 Harvest Moon Dr","","Waco","TX","76710","USA","","(254) 555-7258","","","Cell Phone","","floresc@example.net","","","","","","","","","","","","","","","","","","F","Y","","","","","","","Certified Genealogist (CG)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Single","Person","1","","","Yes","Flores, Cynthia","35.00","","05/23/2027","Check","06/30/2027","","Yes","","16","03/17/2026","","secretary","05/15/2027","10146"
"Richardson, Pamela","","","Pamela","","Salvador","Rodriguez","Not Used","Richardson","","No","11/02/1988","prichardson","1945","7","1","","pamela-salvador-richardson-member.jpg","9924 Oak St","","Beaumont","TX","77701","USA","(409) 555-6544","(409) 555-2392","","","Cell Phone","","pamelarichardson98@example.com","","3011 Liberty Ln","","Tucson","AZ","85701","USA","(520) 555-8279","","Telephone","","Yes","11","1","3","31","","F","Y","Y","","","","","Irish heritage","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Single","Person","1","","","No","Richardson, Pamela","35.00","","02/17/2025","Cash","03/30/2025","","Yes","","0","","","admin","03/09/2025","10147"
"Hernandez, Jeffrey","","","Jeffrey","","Jo","","","Hernandez","","Yes","03/06/2019","jhernandez","1959","6","3","","jeffrey-jo-hernandez-member.jpg","2561 Harvest Moon Dr","","Albuquerque","NM","87101","USA","(505) 555-5441","(505) 555-9179","","","Telephone","","jeffrey.hernandez@example.org","","","","","","","","","","","","","","","","","","M","","Y","","","","","Native American heritage; Spanish colonial records","","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Hernandez, Jeffrey","35.00","","04/14/2027","Credit Card","06/30/2027","","Yes","","43","08/20/2025","","admin","06/09/2027","10148"
"Lehmann, Logan","","","Logan","","Ignacio","","","Lehmann","","Yes","09/19/2012","llehmann","1947","7","3","","logan-ignacio-lehmann-member.jpg","6037 SE Military Dr","","Hondo","TX","78861","USA","(210) 555-6912","(210) 555-3283","","","Telephone","","llehmann@example.org","","","","","","","","","","","","","","","","","","M","Y","Y","Alma","alehmann@example.org","(210) 555-6912","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","Yes","Lehmann, Logan","45.00","","06/09/2026","Check","06/30/2026","","Yes","","13","03/17/2026","Duplicate record - merged with #7374","admin","06/15/2026","10149"
"Phillips, Amber","","","Amber","","","","","Phillips","","Yes","09/10/2016","aphillips","1975","12","27","","amber-phillips-member.jpg","6285 Jefferson Ave","","Beaumont","TX","77701","USA","(409) 555-2264","(409) 555-8674","","","Telephone","","amberphillips49@example.org","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Single","Person","1","","","Yes","Phillips, Amber","35.00","","04/27/2026","PayPal","06/30/2026","","Yes","","5","07/01/2025","Duplicate record - merged with #8295","admin","05/02/2026","10150"
"Rivas, Emilio","","","Emilio","","Irene","","","Rivas","Esq.","Yes","05/06/1994","erivas","1946","8","19","","emilio-irene-rivas-member.jpg","3633 Cedar St","","San Antonio","TX","78251","USA","","(210) 555-9459","","","Cell Phone","","erivas1983@example.net","","","","","","","","","","","","","","","","","","M","Y","","","","","Portuguese language","","","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Single","Person","1","","","Yes","Rivas, Emilio","35.00","","04/22/2026","Check","06/30/2026","","Yes","","45","11/27/2025","","secretary","06/25/2026","10151"
"Schaefer, Debra","","Rev.","Debra","","Wayne","","","Schaefer","","Yes","03/04/2021","dschaefer","1970","5","25","","debra-wayne-schaefer-member.jpg","2213 Patriot Way","","Norman","OK","73069","USA","","","","","","","debraschaefer65@example.net","","","","","","","","","","","","","","","","","","F","Y","Y","","","","","","","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Schaefer, Debra","35.00","","06/15/2027","PayPal","06/30/2027","","Yes","","26","05/12/2025","","webmaster","06/07/2027","10152"
"Weiss, Sharon","","","Sharon","","Sue","","","Weiss","","Yes","05/15/1999","sweiss","1973","4","23","","sharon-sue-weiss-member.jpg","5345 Pine St","# 32","San Antonio","TX","78260","USA","","(210) 555-8756","","","Cell Phone","","sharon.weiss@example.com","","","","","","","","","","","","","","","","","","F","","","Adam","adamweiss35@example.com","(210) 555-8756","","","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Joint","Person","2","","","Yes","Weiss, Sharon","45.00","","04/12/2026","Check","06/30/2026","","Yes","","40","12/06/2025","","secretary","06/21/2026","10153"
"Robertson, Gerardo","","","Gerardo","","","","","Robertson","","Yes","06/22/2002","grobertson","1948","12","22","","gerardo-robertson-member.jpg","1961 Maple Ave","","Kirby","TX","78219","USA","(210) 555-3059","(210) 555-8361","","","Cell Phone","","grobertson@example.com","","","","","","","","","","","","","","","","","","M","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Robertson, Gerardo","35.00","","06/19/2027","Credit Card","06/30/2027","","Yes","","31","10/14/2025","","secretary","06/21/2027","10154"
"Campbell, Harper","","","Harper","","Ray","","","Campbell","","Yes","12/20/2007","hcampbell","1972","12","22","","harper-ray-campbell-member.jpg","6838 Travis St","","San Antonio","TX","78246","USA","","","","","","","hcampbell1987@example.org","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Single","Person","1","","","Yes","Campbell, Harper","35.00","","06/09/2026","Cash","06/30/2026","","Yes","","41","03/17/2026","","secretary","05/10/2026","10155"
"Garcia, Hector","","","Hector","","Irene","","","Garcia","","Yes","06/06/2011","hgarcia","1998","9","27","","hector-irene-garcia-member.jpg","6544 Military Dr","","Castroville","TX","78009","USA","(210) 555-3846","(210) 555-7604","","","Telephone","","hgarcia@example.net","","","","","","","","","","","","","","","","","","M","Y","Y","Lupe","lupe.garcia@example.com","(210) 555-3846","Photography; Research; Microfilm reader operation","","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Joint","Person","2","","","Yes","Garcia, Hector","45.00","53","05/21/2027","PayPal","06/30/2027","","Yes","","39","04/30/2025","","secretary","05/26/2027","10156"
"Schwarz, Taylor","","","Taylor","","","","","Schwarz","","Yes","11/01/2001","tschwarz","1955","11","2","","taylor-schwarz-member.jpg","4727 Rittiman Rd","","Pleasanton","TX","78064","USA","(210) 555-4407","(210) 555-7402","","","Cell Phone","","taylor.schwarz@example.org","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Single","Person","1","","","Yes","Schwarz, Taylor","35.00","","06/06/2026","Cash","06/30/2026","","Yes","","6","01/12/2026","","secretary","06/01/2026","10157"
"Wilson, Amy","","","Amy","","","","","Wilson","","No","12/23/1996","awilson","1944","1","11","","amy-wilson-member.jpg","1606 Rigsby Ave","","San Antonio","TX","78221","USA","(210) 555-8144","(210) 555-9399","","","Telephone","","wilsona@example.com","","","","","","","","","","","","","","","","","","F","","","Frank","wilsonf@example.com","(210) 555-8144","Social media; Database management","","","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","Yes","Wilson, Amy","45.00","","02/25/2025","PayPal","04/10/2025","","Yes","","0","","","admin","01/30/2025","10158"
"Albrecht, Heidi","","","Heidi","","Todd","","","Albrecht","","Yes","03/25/2015","halbrecht","1951","2","7","","heidi-todd-albrecht-member.jpg","3602 Tezel Rd","","San Antonio","TX","78233","USA","(210) 555-5646","(210) 555-4476","","","Cell Phone","","halbrecht1967@example.com","","","","","","","","","","","","","","","","","","F","Y","Y","","","","Social media; German translation","Bexar County pioneers","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Albrecht, Heidi","35.00","","06/05/2027","PayPal","06/30/2027","","Yes","","0","10/08/2025","","admin","06/30/2027","10159"
"Kerr County Genealogical Society","George Moore","","George","","","","","Moore","","Yes","01/18/2013","gmoore","","","","","","6900 Morning Glory Ln","","Oklahoma City","OK","73101","USA","","(405) 555-6131","","","Cell Phone","","info@mooregeorge.example.org","https://www.moore.example.org","","","","","","","","","","","","","","","","(405) 555-1771","","Y","Y","","","","","","","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Exchange","Organization","1","","","Yes","Kerr County Genealogical Society","0.00","","05/08/2026","Credit Card","06/30/2026","","Yes","","30","02/05/2026","Joint with spouse; check joint record","admin","05/20/2026","10160"
"Mohr, Theresa","","","Theresa","","","","","Mohr","","Yes","08/09/2024","tmohr","1967","9","8","","theresa-mohr-member.jpg","1456 Goliad Rd","","San Antonio","TX","78218","USA","","(210) 555-4373","","","Cell Phone","","theresa.mohr@example.net","","","","","","","","","","","","","","","","","","F","Y","","Joshua","joshua.mohr@example.org","(210) 555-4373","","","","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Joint","Person","2","","","Yes","Mohr, Theresa","45.00","","04/20/2027","Cash","06/30/2027","","Yes","","49","10/25/2025","","admin","06/16/2027","10161"
"Barnes, Gloria","","","Gloria","","Trent","","","Barnes","","No","08/22/1992","gbarnes","1950","1","15","","gloria-trent-barnes-member.jpg","9116 Pine St","","El Paso","TX","79912","USA","(915) 555-6467","(915) 555-1870","","","Telephone","","barnesg@example.org","","","","","","","","","","","","","","","","","","F","Y","","","","","","Civil War records","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Barnes, Gloria","35.00","","10/28/2022","PayPal","01/03/2023","","Yes","","0","","","admin","10/05/2022","10162"
"Zavala, Alejandra","","","Alejandra","","","","","Zavala","","No","09/23/2002","azavala","1971","5","24","Yes","alejandra-zavala-member.jpg","4009 Park Ave","","Georgetown","TX","78626","USA","(512) 555-3323","(512) 555-1208","","","Telephone","","zavalaa@example.org","","","","","","","","","","","","","","","","","","F","","","","","","Teaching; Scanning and digitization; Latin translation","","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Single","Person","1","","","Yes","Zavala, Alejandra","35.00","","04/20/2022","PayPal","06/30/2022","","Yes","","0","","","treasurer","04/13/2022","10163"
"Cruz, Lieselotte","","Ms.","Lieselotte","","Pablo","","","Cruz","","Yes","12/21/2017","lcruz","1971","8","4","","lieselotte-pablo-cruz-member.jpg","8256 McCullough Ave","","San Antonio","TX","78245","USA","","","","","","","lieselotte.cruz@example.net","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Single","Person","1","","","Yes","Cruz, Lieselotte","35.00","","06/02/2026","Cash","06/30/2026","","Yes","","9","09/24/2025","","treasurer","06/04/2026","10164"
"Williams, Diana","","","Diana","","Irene","","","Williams","","Yes","02/26/2008","dwilliams","1961","11","6","","diana-irene-williams-member.jpg","2122 Maple Ave","","Austin","TX","78750","USA","(512) 555-1817","(512) 555-5119","","","Cell Phone","","williamsd@example.org","","","","","","","","","","","","","","","","","","F","","","","","","","King Ranch family history; Canary Islanders of San Antonio; Baptist church records","","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Williams, Diana","35.00","","06/19/2027","Cash","06/30/2027","","Yes","","18","05/26/2025","","admin","06/01/2027","10165"
"Sanchez, Irene","","","Irene","","Eric","Trevino","Not Used","Sanchez","","Yes","02/05/2016","isanchez","1955","7","26","","irene-eric-sanchez-member.jpg","5903 Grissom Rd","","San Antonio","TX","78256","USA","","(210) 555-1432","","","Cell Phone","","irene.sanchez@example.org","","","","","","","","","","","","","","","","","","F","","","Emiliano","esanchez1969@example.com","(210) 555-1432","","","Institute of Genealogy and Historical Research graduate","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Joint","Person","2","","","No","Sanchez, Irene","45.00","","05/11/2027","PayPal","06/30/2027","","Yes","","22","07/29/2025","Member since the founding year; honorary board member","treasurer","05/29/2027","10166"
"Smith, Aaron","","","Aaron","","Alan","","","Smith","","Yes","01/04/2015","asmith","1970","1","27","","aaron-alan-smith-member.jpg","7294 Harvest Moon Dr","","Houston","TX","77001","USA","(713) 555-4943","(713) 555-3797","","","Cell Phone","","aaronsmith38@example.org","","","","","","","","","","","","","","","","","","M","Y","","Sara","sara.smith@example.net","(713) 555-4943","","","","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Joint","Person","2","","","Yes","Smith, Aaron","45.00","","04/30/2027","PayPal","06/30/2027","","Yes","","34","11/12/2025","","secretary","05/31/2027","10167"
"Porter, Samantha","","","Samantha","","Jesus","Villanueva","Not Used","Porter","","Yes","03/09/2021","sporter","1963","6","15","","samantha-jesus-porter-member.jpg","7829 Sherwood Way","","Terrell Hills","TX","78209","USA","(210) 555-9608","","","","Telephone","","sporter@example.org","","","","","","","","","","","","","","","","","","F","","","","","","","Vital records research; Cemetery preservation; Spanish colonial records","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Porter, Samantha","35.00","","05/01/2027","Credit Card","06/30/2027","","Yes","","30","09/14/2025","Requested paper newsletter instead of email","treasurer","06/26/2027","10168"
"Kelly, Edeltraud","","","Edeltraud","","Salvador","","","Kelly","","Yes","04/02/1999","ekelly","1968","1","21","","edeltraud-salvador-kelly-member.jpg","5682 Loop 1604","","Universal City","TX","78148","USA","","(210) 555-4115","","","Cell Phone","","ekelly1980@example.com","","","","","","","","","","","","","","","","","","F","Y","","","","","","Jewish genealogy; Irish heritage; Naturalization records","","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Single","Person","1","","","Yes","Kelly, Edeltraud","35.00","","06/20/2026","Cash","06/30/2026","","Yes","","34","02/17/2026","","treasurer","06/07/2026","10169"
"Henry, Lois","","","Lois","","Mae","","","Henry","","Yes","06/14/1993","lhenry","1968","8","9","","lois-mae-henry-member.jpg","9063 Heritage Dr","","Broken Arrow","OK","74012","USA","(918) 555-2194","","","","Telephone","","lhenry1952@example.net","","","","","","","","","","","","","","","","","","F","Y","","Willie","williehenry77@example.com","(918) 555-2194","","Irish heritage","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","No","Henry, Lois","45.00","","05/26/2027","Credit Card","06/30/2027","","Yes","","8","12/11/2025","","secretary","06/09/2027","10170"
"Jordan, Angela","","","Angela","","Pilar","","","Jordan","","Yes","04/03/2010","ajordan","1958","6","14","","angela-pilar-jordan-member.jpg","344 Mulberry Ave","","San Antonio","TX","78207","USA","(210) 555-1716","(210) 555-6146","","","Telephone","","ajordan@example.net","","","","","","","","","","","","","","","","","","F","Y","","Joe","jjordan1975@example.com","(210) 555-1716","","Vital records research; Mayflower descendants; Church records","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","No","Jordan, Angela","45.00","","05/22/2026","PayPal","06/30/2026","","Yes","","36","03/02/2026","","treasurer","06/04/2026","10171"
"Munoz, Brenda","","","Brenda","","Kyle","","","Munoz","","Yes","08/04/2025","bmunoz","1938","4","23","","brenda-kyle-munoz-member.jpg","6394 Morning Glory Ln","","Gonzales","TX","78629","USA","(830) 555-9115","(830) 555-1308","","","Telephone","","brendamunoz6@example.org","","","","","","","","","","","","","","","","","","F","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Single","Person","1","","","No","Munoz, Brenda","35.00","97","04/18/2026","Credit Card","06/30/2026","","Yes","","17","05/28/2025","","admin","05/08/2026","10172"
"Braun, Camila","","","Camila","","Rosa","","","Braun","","Yes","03/01/2010","cbraun","1955","3","13","","camila-rosa-braun-member.jpg","9456 Liberty Ln","Unit 186","Columbus","OH","43085","USA","(614) 555-1202","(614) 555-3036","","","Telephone","","braunc@example.net","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Braun, Camila","35.00","","05/16/2027","Cash","06/30/2027","","Yes","","18","10/04/2025","","treasurer","06/25/2027","10173"
"Dominguez, Sherry","","Mr.","Sherry","","Sean","","","Dominguez","","Yes","05/01/2006","sdominguez","1987","4","2","","sherry-sean-dominguez-member.jpg","1888 Cedar Rd","","Enid","OK","73701","USA","(580) 555-7084","(580) 555-7815","","","Cell Phone","","sherrydominguez37@example.net","","","","","","","","","","","","","","","","","","F","Y","Y","","","","","Immigration records; African American genealogy; 17th century New England","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Sustaining","Person","1","","","No","Dominguez, Sherry","50.00","","04/12/2027","Cash","06/30/2027","","Yes","","15","09/27/2025","","admin","05/16/2027","10174"
"Robinson, Alexis","","","Alexis","","Rosa","","","Robinson","","Yes","01/20/2020","arobinson","1971","12","4","","alexis-rosa-robinson-member.jpg","9524 Thousand Oaks Dr","","Castroville","TX","78009","USA","(210) 555-4782","(210) 555-8468","","","Telephone","","alexis.robinson@example.net","","","","","","","","","","","","","","","","","","F","Y","","Diego","diegorobinson94@example.com","(210) 555-4782","","Early San Antonio families; Native American heritage","","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","No","Robinson, Alexis","45.00","","04/14/2027","Cash","06/30/2027","","Yes","","17","12/16/2025","Scholarship recipient 2022","admin","05/28/2027","10175"
"Ojeda, Eric","","","Eric","","Paul","","","Ojeda","","No","06/19/2021","eojeda","1950","12","10","","eric-paul-ojeda-member.jpg","1308 Colonial Ave","","Oklahoma City","OK","73101","USA","","(405) 555-8138","","","Cell Phone","","ericojeda90@example.org","","","","","","","","","","","","","","","","","","M","Y","","Anna","aojeda@example.net","(405) 555-8138","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","Yes","Ojeda, Eric","45.00","","05/01/2022","PayPal","07/28/2022","","Yes","","0","","","secretary","07/01/2022","10176"
"Baker, Charlotte","","Col.","Charlotte","","","","","Baker","","Yes","02/10/2002","cbaker","1961","6","4","","charlotte-baker-member.jpg","4350 Sherwood Way","","San Antonio","TX","78255","USA","","(210) 555-4388","","","Cell Phone","","cbaker1960@example.net","","","","","","","","","","","","","","","","","","F","","","","","","","","","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Single","Person","1","","","Yes","Baker, Charlotte","35.00","","04/19/2027","PayPal","06/30/2027","","Yes","","10","10/29/2025","","admin","06/02/2027","10177"
