"Groom Name","Bride Name","Marriage Date","County","Volume","Page","Notes"
"Walter Hartmann","Harriet Thomas","07/05/1921","Bexar","32","430",""
"Harold Johnson","Esperanza Fuentes","03/03/1948","Bexar","42","385",""
"Carlos López","Hedwig Krüger","02/15/1895","Bexar","22","228",""
"Conrad Wolf","Catalina Martínez","01/18/1906","Bexar","26","282","Second marriage"
"Harold Wright","Remedios Morales","06/12/1909","Bexar","27","423","Minor — parental consent noted"
"Richard Young","Bertha Martin","12/15/1883","Bexar","18","59","Previously widowed"
"Jesús Cantu","Grace Young","02/02/1924","Bexar","33","460",""
"Isidro Domínguez","Juana Díaz","04/15/1905","Bexar","26","423",""
"Thomas Adams","Mathilde Weber","08/22/1894","Bexar","22","302",""
"Ignacio García","Marta Schwarz","10/16/1944","Bexar","40","474",""
"George Green","Bertha Weber","10/11/1918","Bexar","31","259",""
"Klaus Weidemann","Katharina Hoffmann","05/15/1901","Bexar","24","413",""
"Bruno Schäfer","Ida Mitchell","09/21/1927","Bexar","34","112",""
"Ludwig Hartmann","Amparo Ramírez","03/17/1920","Bexar","31","278",""
"Francisco Cantu","Mathilde Zimmermann","07/22/1927","Bexar","34","383",""
"Walter Lehmann","Rosa Martínez","11/02/1883","Bexar","18","103",""
"Samuel Scott","Guadalupe Moreno","01/12/1914","Bexar","29","417",""
"Gerhard Steinemann","Luz Vásquez","12/10/1930","Bexar","35","355",""
"Joseph White","Brigid Burke","05/07/1927","Bexar","34","318",""
"Albert Carter","Luz Treviño","12/20/1906","Bexar","26","101",""
"Liam Brennan","Amparo Rodríguez","12/17/1891","Bexar","21","62",""
"Gerhard Hoffmann","Teresa Ortiz","12/05/1909","Bexar","27","21",""
"Juan Gutiérrez","Mathilde Schwarz","12/11/1930","Bexar","35","270",""
"Manuel Flores","Hedwig Richter","04/22/1894","Bexar","22","170",""
"Feliciano Fuentes","Bridget Murphy","04/21/1908","Bexar","27","315",""
"Juan Salinas","Ramona Sánchez","12/10/1914","Bexar","29","13",""
"Frank Thompson","Ruth Martin","04/11/1921","Bexar","32","264","Second marriage"
"Feliciano García","Wilhelmine Hartmann","11/14/1893","Bexar","21","428",""
"Walter Krüger","Sarah Baker","08/23/1881","Bexar","17","170","Second marriage"
"Florencio Ortiz","Mathilde Gruenewald","07/13/1896","Bexar","22","231",""
"Friedrich Richter","Hedwig Mueller","02/25/1919","Bexar","31","382",""
"William Thomas","Emma Taylor","10/03/1875","Bexar","15","145",""
"Emil Gruenewald","Sophie Wagner","12/13/1888","Bexar","19","408",""
"Johann Schäfer","Louisa Mueller","03/04/1915","Bexar","29","22","Witnesses present"
"Andrés Hernández","Elvira Cantu","09/05/1921","Bexar","32","83",""
"Franz Becker","Amparo López","08/21/1907","Bexar","27","282","Previously widowed"
"Francisco Díaz","Harriet Anderson","11/08/1922","Bexar","32","52",""
"Miguel Salinas","Gertrud Braun","10/05/1924","Bexar","33","290",""
"Walter Davis","Consuelo Reyes","07/09/1919","Bexar","31","431",""
"Gustav Bergmann","Olga Bauer","09/04/1899","Bexar","24","90",""
"Carlos Ramírez","Edith Moore","02/24/1917","Bexar","30","39",""
"James Carter","Clara Schmitt","09/09/1882","Bexar","17","279",""
"Johann Bauer","Felicitas Moreno","09/03/1912","Bexar","28","204",""
"Ramón Flores","Alice Harris","10/22/1916","Bexar","30","447",""
"Arthur Thomas","Felicitas Herrera","06/08/1896","Bexar","22","22",""
"Adolph Richter","Olga Bergmann","06/04/1921","Bexar","32","361",""
"Franz Gruenewald","Pearl Young","11/13/1904","Bexar","25","188",""
"William Thompson","Consuelo Molina","08/26/1902","Bexar","25","247",""
"Antonio Medina","Josefa Castillo","03/12/1891","Bexar","21","309",""
"Ramón Domínguez","Emma Martin","04/19/1910","Bexar","28","83",""
"Hermann Schmidt","Teresa Flores","01/19/1912","Bexar","28","76","Performed by Judge R.H. Harrison"
"Clarence Jackson","Mathilde Krüger","12/22/1926","Bexar","34","421",""
"Guadalupe Fuentes","Florence Wilson","03/26/1913","Bexar","29","299",""
"Gregorio Ortiz","Amparo Garza","10/03/1913","Bexar","29","118",""
"José Díaz","Else Hartmann","10/04/1889","Bexar","20","91",""
"Wilhelm Bergmann","Louisa Adams","11/05/1910","Bexar","28","462",""
"Walter Thompson","Marta Lange","08/26/1894","Bexar","22","394",""
"Hans Weber","Augusta Schroeder","02/10/1946","Bexar","41","307",""
"Ernst Mueller","Mary Allen","01/13/1913","Bexar","29","336",""
"Walter Thomas","Petra Ortiz","07/19/1914","Bexar","29","188",""
"Kieran Doyle","Soledad Fuentes","09/16/1915","Bexar","29","130",""
"Emil Werner","Amparo Sánchez","12/06/1894","Bexar","22","52",""
"Gustav Lehmann","Marta Wagner","01/26/1920","Bexar","31","47",""
"Klaus Klein","Lupe Reyes","01/24/1918","Bexar","31","197",""
"Bruno Schäfer","Bertha Johnson","03/21/1941","Bexar","39","254",""
"Gregorio Moreno","Ramona Reyes","01/12/1923","Bexar","32","123",""
"Michael Walsh","Nellie Scott","04/17/1917","Bexar","30","8",""
"Manuel Moreno","Ida Roberts","05/08/1902","Bexar","25","311",""
"Emil Zimmermann","Esperanza Domínguez","02/17/1915","Bexar","29","151",""
"Aurelio Ortiz","Pearl Moore","10/16/1904","Bexar","25","395",""
"Feliciano Ramos","Mathilde Steinemann","05/03/1887","Bexar","19","196",""
"Seamus Doyle","Margarita García","04/10/1870","Bexar","13","48",""
"Richard Williams","Emilie Schroeder","10/09/1893","Bexar","21","94",""
"Ernst Schroeder","Mabel Baker","04/08/1896","Bexar","22","104",""
"Frank Jones","Emma Roberts","08/20/1922","Bexar","32","4",""
"Wilhelm Steinemann","Lena Koch","05/16/1916","Bexar","30","94",""
"Edward Jackson","Teresa Ramírez","08/18/1907","Bexar","27","17",""
"Gregorio Rivera","Frieda Lange","12/01/1900","Bexar","24","7",""
"Francisco Salinas","Lupe Rivera","05/16/1895","Bexar","22","491",""
"Ignacio Chávez","Beatriz Treviño","05/15/1905","Bexar","26","93",""
"Seamus McCarthy","Lupe Cruz","04/05/1904","Bexar","25","410",""
"Florencio García","Catalina Ramírez","11/17/1945","Bexar","41","274",""
"Samuel Moore","Mathilde Schmidt","03/02/1924","Bexar","33","111",""
"Karl Wolf","Ethel Thomas","05/12/1915","Bexar","29","11",""
"Gregorio Díaz","Hedwig Wagner","06/11/1873","Bexar","14","345",""
"Albert Perez","Juana Moreno","03/21/1889","Bexar","20","414",""
"Klaus Zimmermann","Helene Fischer","06/11/1894","Bexar","22","335",""
"Agustín Molina","Angela Treviño","08/14/1903","Bexar","25","86",""
"Eusebio Cruz","Helene Becker","02/03/1886","Bexar","19","480",""
"Friedrich Schmitt","Felicitas Hernández","03/03/1919","Bexar","31","336",""
"Ramón Cruz","Ruth Wright","03/01/1913","Bexar","29","18",""
"Richard Mitchell","Hedwig Weidemann","03/23/1908","Bexar","27","277",""
"Hans Klein","Hedwig Schäfer","09/08/1898","Bexar","23","413","Performed by Judge R.H. Harrison"
"Carlos Torres","María Ramírez","09/01/1910","Bexar","28","353",""
"Arthur Taylor","Petra Moreno","01/18/1930","Bexar","35","192",""
"Walter Jackson","Beatriz Vásquez","05/03/1865","Bexar","11","217",""
"Klaus Lehmann","Augusta Schäfer","05/14/1914","Bexar","29","97",""
"Luis Sánchez","Lena Wolf","08/07/1919","Bexar","31","165","Second marriage"
"Patrick Kelly","Eileen Walsh","12/01/1908","Bexar","27","120","Second marriage"
"Gustav Klein","Ramona Herrera","12/26/1896","Bexar","22","17",""
"Robert Johnson","Francisca Rodríguez","04/27/1891","Bexar","21","129",""
"Thomas Adams","Lillie Adams","12/02/1868","Bexar","12","102",""
"Clarence Scott","Colleen Connelly","06/06/1899","Bexar","24","323",""
"Eugene Thompson","Catalina Gutiérrez","11/07/1883","Bexar","18","499",""
"Gustav Mueller","Lupe Sánchez","01/02/1895","Bexar","22","298",""
"Klaus Meyer","Josefa Cruz","11/20/1885","Bexar","18","174",""
"Patrick O'Brien","Carmen Pérez","06/18/1894","Bexar","22","404",""
"Guadalupe Díaz","Francisca Cantu","01/16/1869","Bexar","12","362",""
"Isidro Herrera","Esperanza Cantu","05/28/1909","Bexar","27","426",""
"George Williams","Olga Schäfer","06/15/1906","Bexar","26","1",""
"Otto Bergmann","Margarita Cruz","11/18/1884","Bexar","18","420",""
"Conrad Schmitt","Lena Schäfer","06/04/1921","Bexar","32","50",""
"Antonio Rivera","Edith Brown","01/19/1886","Bexar","19","329",""
"Bruno Braun","Ethel Johnson","12/03/1918","Bexar","31","7",""
"Ignacio Hernández","Marta Bauer","06/26/1906","Bexar","26","363","Witnesses present"
"Juan Rodríguez","Sarah Miller","02/24/1849","Bexar","5","119",""
"Aurelio Cruz","Emilie Schwarz","12/04/1890","Bexar","20","393",""
"Guadalupe Chávez","Florence Nelson","09/11/1905","Bexar","26","337",""
"Eamon Flanagan","Concepción Salinas","11/14/1889","Bexar","20","423",""
"Hans Schwarz","Felicitas Ortiz","08/13/1908","Bexar","27","1",""
"Colm O'Brien","Hilda Mueller","04/28/1894","Bexar","22","162","Previously widowed"
"Eugene Thompson","Mathilde Meyer","06/05/1909","Bexar","27","71",""
"Charles Wilson","Elena Hernández","04/24/1916","Bexar","30","40",""
"George Martin","Pearl Carter","11/10/1913","Bexar","29","20",""
"Heinrich Schmitt","Felicitas Garza","07/28/1907","Bexar","27","62",""
"Agustín García","Clara Schmidt","06/18/1882","Bexar","17","290",""
"Hermann Meyer","Elvira Molina","10/19/1933","Bexar","36","259","Catholic ceremony"
"Ernesto Torres","Josefa Fuentes","09/13/1883","Bexar","18","135","Witnesses present"
"Johann Schmitt","Soledad Díaz","10/07/1921","Bexar","32","288",""
"Charles Wilson","Felicitas Chávez","02/04/1916","Bexar","30","344",""
"Miguel Salinas","Luz Martínez","06/20/1858","Bexar","8","421",""
"Johann Wolf","Consuelo Díaz","12/28/1889","Bexar","20","44",""
"Bernardo Torres","Grace Smith","05/15/1887","Bexar","19","242","Minor — parental consent noted"
"Henry Miller","Augusta Schwarz","03/23/1926","Bexar","34","358",""
"Gregorio González","Guadalupe Moreno","10/09/1924","Bexar","33","28",""
"William Jackson","Louisa Steinemann","11/13/1898","Bexar","23","119",""
"Karl Bergmann","Juana Hernández","08/18/1912","Bexar","28","475",""
"Aurelio Gutiérrez","Francisca Flores","06/12/1923","Bexar","32","321",""
"Fergus Walsh","Ethel Perez","09/09/1881","Bexar","17","116",""
"Robert Williams","Louisa Scott","11/08/1920","Bexar","31","214",""
"Luis Garza","Bertha Becker","09/22/1917","Bexar","30","410",""
"Isidro Ramírez","Bertha Krüger","06/03/1857","Bexar","8","286",""
"George Anderson","Alice Baker","07/14/1900","Bexar","24","156",""
"Edward Jones","Emma Jones","10/20/1928","Bexar","34","137",""
"Klaus Schulz","María Cantu","08/05/1929","Bexar","35","258",""
"Adolph Wagner","Harriet Martin","04/02/1892","Bexar","21","210",""
"Carlos Domínguez","Amparo Díaz","03/15/1845","Bexar","3","444",""
"August Bergmann","Francisca González","12/11/1904","Bexar","25","202",""
"Harold Young","Marta Neumann","01/08/1909","Bexar","27","266",""
"Patrick Burke","Felicitas López","07/10/1908","Bexar","27","397",""
"Walter Schäfer","Marta Lange","08/27/1889","Bexar","20","331",""
"Thomas Davis","Ida Jones","08/01/1900","Bexar","24","92",""
"Henry Perez","Augusta Koch","03/23/1925","Bexar","33","376",""
"Guadalupe Treviño","Beatriz Vásquez","10/06/1902","Bexar","25","194",""
"Pedro Garza","Bertha Wagner","12/02/1859","Bexar","9","215",""
"Albert Taylor","Frieda Bergmann","01/20/1892","Bexar","21","392",""
"Conrad Schwarz","Bertha Perez","10/22/1893","Bexar","21","244",""
"Klaus Braun","Soledad Castillo","04/02/1915","Bexar","29","95",""
"Wilhelm Meyer","Pearl Carter","02/02/1901","Bexar","24","56",""
"Gregorio Moreno","Lena Zimmermann","08/24/1859","Bexar","9","297",""
"Feliciano Gutiérrez","Francisca Rodríguez","09/03/1944","Bexar","40","150",""
"Carlos Garza","Else Becker","01/04/1919","Bexar","31","293",""
"Heinrich Schroeder","Bertha Roberts","05/14/1927","Bexar","34","312",""
"Tomás Cantu","Bertha Allen","11/16/1926","Bexar","34","253",""
"Charles Green","Dolores García","11/26/1909","Bexar","27","61",""
"Bernardo Domínguez","Gertrud Bauer","04/01/1920","Bexar","31","328",""
"Florencio Rodríguez","Remedios Salinas","11/11/1851","Bexar","6","175",""
"Friedrich Gruenewald","Concepción Garza","08/26/1898","Bexar","23","19",""
"August Bergmann","Bessie Harris","12/02/1889","Bexar","20","428",""
"Gustav Schwarz","Wilhelmine Zimmermann","06/03/1930","Bexar","35","497",""
"Richard Jackson","Emilie Zimmermann","10/04/1891","Bexar","21","443",""
"Jesús González","Josefa Herrera","08/27/1884","Bexar","18","487",""
"Otto Weber","Guadalupe Díaz","09/01/1893","Bexar","21","410",""
"Ernst Koch","Louisa Taylor","02/27/1855","Bexar","7","481",""
"Seamus Ryan","Francisca Sánchez","11/28/1882","Bexar","17","305",""
"Juan Pérez","Hilda Mueller","11/07/1899","Bexar","24","165",""
"Andrés Salinas","Emma Moore","02/01/1897","Bexar","23","491",""
"Ernst Schwarz","Concepción Castillo","05/19/1925","Bexar","33","126",""
"Jesús Medina","María Fuentes","02/13/1843","Bexar","3","28","Catholic ceremony"
"Bernardo Medina","Hilda Koch","11/26/1928","Bexar","34","274","Catholic ceremony"
"Heinrich Gruenewald","Ruth Brown","11/23/1923","Bexar","32","393",""
"Ramón Torres","Bertha Moore","03/23/1887","Bexar","19","470",""
"Richard Harris","Helene Schroeder","08/28/1910","Bexar","28","88",""
"Tomás Ramírez","Clara Gruenewald","06/18/1850","Bexar","5","333","Performed by Judge R.H. Harrison"
"Emil Zimmermann","Lena Schulz","07/03/1910","Bexar","28","175",""
"Walter Lehmann","Fiona Doyle","04/06/1924","Bexar","33","340",""
"Frederick Carter","Mathilde Braun","02/27/1915","Bexar","29","228",""
"Michael Gallagher","Juana Vásquez","11/02/1921","Bexar","32","47",""
"Tomás García","Alice Harris","10/19/1904","Bexar","25","229",""
"Gustav Schäfer","Hilda Weidemann","12/12/1892","Bexar","21","46",""
"Bruno Richter","Grace Johnson","01/01/1915","Bexar","29","361",""
"Michael McCarthy","María Cruz","07/21/1917","Bexar","30","163",""
"Walter Schwarz","Esperanza Fuentes","07/27/1915","Bexar","29","474",""
"Ludwig Steinemann","Bertha Mueller","03/24/1881","Bexar","17","454",""
"Johann Fischer","Ramona Domínguez","12/20/1937","Bexar","38","477",""
"Aurelio Chávez","Olga Richter","07/20/1891","Bexar","21","4",""
"Charles Green","Ida Weidemann","01/02/1903","Bexar","25","291",""
"Tomás Fuentes","Kathleen Kelly","05/15/1904","Bexar","25","265","Witnesses present"
"Ignacio Rodríguez","Hedwig Lehmann","01/11/1919","Bexar","31","274",""
"Bruno Bergmann","Gertrud Klein","05/06/1898","Bexar","23","19",""
"Ludwig Werner","Ethel Johnson","03/19/1917","Bexar","30","27",""
"Eusebio Martínez","Josefa Ramírez","05/09/1930","Bexar","35","68",""
"Carlos García","Bertha Davis","03/22/1931","Bexar","35","229",""
"Florencio Cruz","Else Steinemann","03/20/1885","Bexar","18","479",""
"Walter Adams","Amparo Medina","04/19/1858","Bexar","8","376",""
"Carlos Sánchez","Angela Molina","12/25/1910","Bexar","28","473",""
"Isidro Vásquez","Bertha Neumann","05/26/1838","Bexar","1","230",""
"Aurelio González","Soledad Cantu","10/21/1892","Bexar","21","440",""
"Florencio Pérez","Teresa Molina","12/08/1923","Bexar","32","376",""
"Clarence Anderson","Emilie Koch","01/27/1923","Bexar","32","35","Second marriage"
"August Bauer","Elena Ortiz","10/03/1881","Bexar","17","30",""
"Ernst Braun","Frieda Fischer","07/22/1853","Bexar","6","392",""
"Otto Bergmann","Esperanza Ortiz","02/21/1922","Bexar","32","233",""
"Héctor Salinas","Felicitas Rodríguez","07/13/1883","Bexar","18","171",""
"Carlos Rivera","Sophie Weidemann","03/21/1905","Bexar","26","252",""
"Walter Becker","Frieda Weidemann","02/02/1896","Bexar","22","38","Previously widowed"
"Guadalupe Martínez","Alice Wright","11/13/1882","Bexar","17","137",""
"Ernesto García","Sophie Schroeder","02/18/1926","Bexar","34","116","Previously widowed"
"Arthur Brown","Louisa Koch","01/21/1905","Bexar","26","491",""
"Jesús Hernández","Grace Wright","01/13/1915","Bexar","29","339",""
"Karl Krüger","Sophie Fischer","12/07/1893","Bexar","21","72","Second marriage"
"Frederick Wilson","Helene Lehmann","08/18/1899","Bexar","24","495",""
"Friedrich Schmidt","Concepción González","11/22/1893","Bexar","21","268",""
"Gerhard Meyer","Mabel Roberts","03/16/1927","Bexar","34","335","Witnesses present"
"Isidro Ramírez","Luz López","02/15/1942","Bexar","40","313",""
"Karl Weber","Lena Schulz","07/11/1892","Bexar","21","416",""
"Joseph Anderson","Amparo Ramírez","04/25/1930","Bexar","35","24",""
"Francisco Castillo","Petra Flores","03/15/1915","Bexar","29","125",""
"Francisco Vásquez","Mary Perez","01/06/1880","Bexar","16","475","Previously widowed"
"Ludwig Klein","Sophie Lange","11/09/1889","Bexar","20","268",""
"Pedro González","Sophie Braun","05/12/1917","Bexar","30","215","Minor — parental consent noted"
"Aurelio Pérez","Hedwig Neumann","11/22/1929","Bexar","35","107",""
"Florencio Torres","Sophie Schroeder","01/02/1922","Bexar","32","331",""
"Carlos Garza","Olga Schmidt","09/06/1883","Bexar","18","81",""
"Karl Fischer","Ruth Allen","04/24/1906","Bexar","26","347",""
"Francisco Salinas","Consuelo Domínguez","04/03/1885","Bexar","18","242",""
"Héctor Torres","Juana Ramos","03/15/1903","Bexar","25","369",""
"Carlos Díaz","Guadalupe López","08/15/1887","Bexar","19","215",""
"Luis Flores","Bertha Perez","04/03/1915","Bexar","29","211",""
"Ernst Zimmermann","Olga Hoffmann","12/28/1907","Bexar","27","127",""
"Hermann Bergmann","Alice Roberts","07/02/1880","Bexar","16","21",""
"Clarence Johnson","Clara Schroeder","02/15/1926","Bexar","34","254",""
"Friedrich Lange","Edith Jones","11/03/1895","Bexar","22","9",""
"Isidro Ramos","Pearl Smith","03/28/1896","Bexar","22","361",""
"Frank Wright","Anna Steinemann","12/11/1904","Bexar","25","272","Catholic ceremony"
"Harold Young","Wilhelmine Lehmann","06/24/1919","Bexar","31","478","Previously widowed"
"Juan Sánchez","Angela González","11/18/1891","Bexar","21","361","Previously widowed"
"Robert Anderson","Rosa Fuentes","10/28/1933","Bexar","36","492",""
"Charles Anderson","Lupe Chávez","06/12/1884","Bexar","18","232",""
"Karl Schroeder","Ida Perez","06/26/1919","Bexar","31","345",""
"William Miller","Ruth Williams","05/03/1891","Bexar","21","56",""
"Antonio Herrera","Dolores Martínez","09/05/1923","Bexar","32","243",""
"Friedrich Schäfer","María Reyes","11/11/1903","Bexar","25","211",""
"Gustav Schroeder","Else Gruenewald","05/19/1909","Bexar","27","68",""
"Florencio Ortiz","Margarita Moreno","03/12/1843","Bexar","3","146",""
"Pedro Moreno","Esperanza Torres","01/11/1887","Bexar","19","295",""
"Pedro Morales","Marta Hartmann","03/12/1902","Bexar","25","230",""
"Luis Sánchez","Lillie Roberts","08/11/1889","Bexar","20","80","Previously widowed"
"Bruno Koch","Hilda Schroeder","10/22/1933","Bexar","36","76",""
"Albert Anderson","Sophie Bergmann","09/04/1923","Bexar","32","158","Witnesses present"
"Albert Thomas","Guadalupe Díaz","05/07/1894","Bexar","22","12","Catholic ceremony"
"Heinrich Neumann","Catalina Salinas","01/22/1912","Bexar","28","185",""
"Walter Thomas","María Moreno","08/28/1899","Bexar","24","288","Previously widowed"
"Walter Nelson","Emilie Lehmann","12/14/1891","Bexar","21","72",""
"Johann Becker","Remedios Garza","07/03/1917","Bexar","30","4",""
"Walter Davis","Mathilde Schmitt","03/27/1862","Bexar","10","196",""
"Ludwig Gruenewald","Sophie Schwarz","01/26/1865","Bexar","11","2",""
"Agustín Fuentes","Amparo Moreno","12/21/1911","Bexar","28","126","Performed by Judge R.H. Harrison"
"Heinrich Braun","Pearl Martin","11/22/1896","Bexar","22","244",""
"Frank Thompson","Mary Mitchell","01/05/1917","Bexar","30","164",""
"Adolph Wagner","Margarita Domínguez","01/10/1902","Bexar","25","150",""
"Clarence Miller","Florence Adams","03/18/1928","Bexar","34","166",""
"Samuel Moore","Louisa Weber","03/01/1902","Bexar","25","71",""
"Ignacio Domínguez","Esperanza Pérez","04/27/1912","Bexar","28","97",""
"Bruno Steinemann","Hedwig Lange","07/15/1851","Bexar","6","470","Minor — parental consent noted"
"Arthur Thomas","Margarita Ramírez","10/17/1950","Bexar","42","391",""
"Luis Martínez","Emma Wilson","03/23/1924","Bexar","33","117",""
"Manuel Chávez","Frieda Fischer","07/02/1910","Bexar","28","101",""
"Clarence Allen","Rosa Ortiz","11/01/1899","Bexar","24","387","Second marriage"
"Henry Allen","Florence Scott","03/28/1885","Bexar","18","383",""
"Frank Thomas","Remedios Cruz","02/27/1884","Bexar","18","297",""
"Ernst Schäfer","Felicitas García","04/17/1849","Bexar","5","436",""
"Tomás Rivera","Frieda Wagner","07/07/1885","Bexar","18","264",""
"Jesús Sánchez","Else Meyer","12/10/1903","Bexar","25","286",""
"Ignacio Sánchez","Angela Gutiérrez","04/18/1908","Bexar","27","209",""
"Henry Mitchell","Ramona Fuentes","03/01/1884","Bexar","18","346",""
"Guadalupe Hernández","Francisca Molina","12/06/1886","Bexar","19","34",""
"Miguel Molina","Petra Herrera","10/19/1925","Bexar","33","140",""
"Joseph Thomas","Lena Richter","05/05/1902","Bexar","25","394",""
"Ignacio Herrera","Carmen Martínez","02/16/1883","Bexar","18","348","Minor — parental consent noted"
"Gregorio Salinas","Juana Pérez","09/25/1921","Bexar","32","253",""
"Gregorio Herrera","Augusta Schwarz","09/01/1914","Bexar","29","488",""
"Michael Connelly","Clara Wolf","03/18/1882","Bexar","17","338",""
"Isidro Flores","Bertha Schäfer","02/19/1899","Bexar","24","346",""
"Gerhard Zimmermann","Hedwig Steinemann","07/09/1883","Bexar","18","254",""
"Gregorio Cantu","Grace Anderson","01/05/1917","Bexar","30","429",""
"Frederick Smith","Bessie Jackson","06/14/1902","Bexar","25","180","Minor — parental consent noted"
"Agustín Gutiérrez","Helene Steinemann","03/01/1901","Bexar","24","276",""
"Walter Zimmermann","Ida Hoffmann","10/01/1910","Bexar","28","163",""
"Tomás Pérez","Emma Green","08/17/1901","Bexar","24","416",""
"Bernardo Gutiérrez","Petra Díaz","02/27/1930","Bexar","35","436",""
"Juan Gutiérrez","Aoife Doyle","02/23/1927","Bexar","34","433",""
"Franz Fischer","Else Schroeder","02/21/1902","Bexar","25","422",""
"Walter Scott","Wilhelmine Klein","09/15/1919","Bexar","31","344",""
"José Rivera","Wilhelmine Hartmann","08/09/1932","Bexar","36","480",""
"Walter Roberts","Marta Neumann","03/08/1909","Bexar","27","78",""
"Walter White","Josefa Morales","05/21/1871","Bexar","13","83",""
"Emil Schulz","Dolores Martínez","08/16/1899","Bexar","24","287",""
"Wilhelm Becker","Carmen Martínez","11/18/1897","Bexar","23","91",""
"Eusebio Herrera","Elizabeth Mitchell","10/10/1877","Bexar","15","444","Catholic ceremony"
"William Jackson","Alice Wilson","09/04/1927","Bexar","34","268",""
"Bruno Hoffmann","Helene Schulz","06/11/1929","Bexar","35","427",""
"Eusebio Cruz","Edith Jones","05/15/1893","Bexar","21","210",""
"Conrad Schwarz","Rosa Salinas","11/08/1910","Bexar","28","494",""
"Robert Thomas","Louisa Gruenewald","10/02/1921","Bexar","32","431",""
"John Green","Mabel Moore","11/23/1899","Bexar","24","186",""
"Gerhard Steinemann","Angela Vásquez","05/10/1905","Bexar","26","47",""
"Samuel Miller","Florence Roberts","11/14/1900","Bexar","24","405","Second marriage"
"Arthur Martin","Bessie Green","03/23/1886","Bexar","19","134",""
"Bernardo Salinas","Anna Schmitt","03/21/1921","Bexar","32","228",""
"Ernesto Díaz","Gertrud Zimmermann","04/17/1890","Bexar","20","366",""
"Robert Mitchell","Ida Lehmann","08/28/1894","Bexar","22","377",""
"Tomás Salinas","Edith Williams","07/13/1891","Bexar","21","484",""
"Friedrich Mueller","Bertha Wright","08/07/1885","Bexar","18","135",""
"Ernesto Chávez","Bertha Fischer","10/04/1858","Bexar","8","8",""
"August Gruenewald","Frieda Schulz","05/10/1861","Bexar","9","383",""
"Miguel Morales","Eileen Ryan","03/14/1906","Bexar","26","406",""
"Carlos Cruz","Katharina Bauer","08/03/1921","Bexar","32","6",""
"Joseph Scott","Francisca Chávez","02/04/1869","Bexar","12","286","Performed by Judge R.H. Harrison"
"Arthur Roberts","Juana González","10/13/1912","Bexar","28","155",""
"Johann Bergmann","Mathilde Wagner","08/11/1912","Bexar","28","450",""
"Isidro Chávez","Rosa Salinas","08/28/1888","Bexar","19","499",""
"Walter Taylor","Ethel King","09/11/1870","Bexar","13","224",""
"Ignacio Torres","Olga Schmidt","04/06/1883","Bexar","18","19",""
"Guadalupe Chávez","Catalina González","09/16/1925","Bexar","33","235",""
"Robert Brown","Dolores Moreno","12/17/1890","Bexar","20","422",""
"Frederick Miller","Anna Neumann","07/03/1860","Bexar","9","127",""
"Gustav Mueller","Amparo Sánchez","02/27/1917","Bexar","30","166",""
"Isidro Fuentes","Augusta Braun","01/21/1901","Bexar","24","319",""
"Eusebio Ramírez","Guadalupe Moreno","12/03/1883","Bexar","18","281",""
"Ernesto Ortiz","Felicitas Molina","03/13/1893","Bexar","21","400",""
"Johann Weber","Ramona Chávez","11/20/1876","Bexar","15","68",""
"Rafael Díaz","Clara Schroeder","07/03/1918","Bexar","31","388",""
"Pedro Chávez","Helene Schmidt","11/08/1909","Bexar","27","332",""
"Ignacio Hernández","Petra Hernández","05/05/1898","Bexar","23","66",""
"Ramón Chávez","Guadalupe Rodríguez","02/17/1902","Bexar","25","218",""
"Hans Gruenewald","Lupe Hernández","02/24/1839","Bexar","1","339",""
"Joseph Johnson","Beatriz Gutiérrez","08/25/1926","Bexar","34","344",""
"Richard Roberts","Florence Miller","10/09/1927","Bexar","34","447",""
"Friedrich Mueller","María Flores","12/13/1909","Bexar","27","445",""
"Arthur Taylor","Lena Bauer","11/13/1924","Bexar","33","412",""
"José Díaz","María Díaz","08/21/1863","Bexar","10","75",""
"Gerhard Becker","Felicitas Ramos","01/04/1907","Bexar","27","86",""
"Albert Martin","Olga Zimmermann","10/27/1898","Bexar","23","427",""
"Francisco Chávez","Colleen Ryan","09/10/1926","Bexar","34","19",""
"Hans Werner","Sophie Schulz","01/14/1904","Bexar","25","296",""
"Agustín Domínguez","Emma Martin","06/15/1921","Bexar","32","358",""
"Eusebio Díaz","Olga Schulz","11/11/1917","Bexar","30","472",""
"Albert Jones","Lillie White","11/24/1923","Bexar","32","185",""
"George King","Beatriz Hernández","03/07/1888","Bexar","19","81",""
"Héctor Herrera","Dolores López","05/12/1882","Bexar","17","347",""
"Clarence Johnson","Bessie White","02/18/1894","Bexar","22","115",""
"Dermot Doyle","Soledad Castillo","12/28/1946","Bexar","41","264",""
"Juan Medina","Emma Brown","02/27/1915","Bexar","29","288","Second marriage"
"Francisco Morales","Florence Baker","09/16/1908","Bexar","27","376",""
"Rafael Garza","Emma Mitchell","01/08/1906","Bexar","26","428",""
"Aurelio Flores","Margarita Domínguez","04/05/1922","Bexar","32","386",""
"Hermann Meyer","Helen Roberts","09/26/1909","Bexar","27","350",""
"Antonio García","Louisa Williams","07/25/1900","Bexar","24","85",""
"Juan Torres","Elizabeth Wright","11/17/1939","Bexar","38","499",""
"Gerhard Steinemann","Elvira Salinas","05/17/1838","Bexar","1","313",""
"Albert Wright","Soledad Medina","11/13/1930","Bexar","35","398",""
"Juan Garza","Elvira Ramírez","05/07/1914","Bexar","29","48",""
