"First Name","Last Name","Preferred Name","Email","Phone","Cell Phone","Address 1","City","State","Zip","Country","Gender","Birthday","Join Date","Expiration Date","Status","Membership Plan","Amount Paid","Payment Method","Payment Date","Marital Status","Surnames Researched","Notes"
"Jonathan","Gardner","Jonathan","jonathan25@yahoo.com","(210) 815-3413","","7653 Babcock Rd","San Antonio","TX","78290","US","Male","","12/22/2022","12/22/2023","Active","Individual","45.00","Check","12/20/2022","","Lee; Russell","Moved from Lubbock; Land records specialist"
"Cheryl","Stevens","Cheryl","cstevens@aol.com","(210) 682-5171","","23828 West Ave","San Antonio","TX","78169","US","Female","11/16/1938","02/14/2024","02/13/2025","Active","Organization","100.00","Check","02/14/2024","Married","Robinson; Stricklan; Fitzgerald; Walker; Meyer",""
"Christian","Stewart","Christian","christian.stewart36@aol.com","(713) 922-5180","","6665 Lakeview Dr","Houston","TX","77303","US","Male","12/28/1941","04/07/2022","04/07/2023","Active","Individual","45.00","Credit Card","04/07/2022","Widowed","Washington; Oglethorpe; Wilson; Nguyen; Ingersoll",""
"Jack","Bailey","Jack","j.bailey@gmail.com","(210) 625-7780","","2555 Live Oak St Suite 765","San Antonio","TX","78130","US","Male","01/05/1977","12/08/2018","","Active","Life","500.00","Check","12/08/2018","Married","Hartmann; Medina; Morgan; Braun",""
"Barbara","Edwards","Barbara","bedwards@gmail.com","(830) 480-5813","(830) 416-5019","25457 Dove Hollow Suite 872","New Braunfels","TX","78146","US","Female","07/27/1950","03/13/2019","03/12/2020","Active","Individual","45.00","Check","03/08/2019","Widowed","Eastman; Long; Simmons; Pham; Remington",""
"Otto","Kumar","Otto","otto.kumar@sbcglobal.net","(210) 202-3931","","10962 West Ave Unit 852","San Antonio","TX","78199","US","Male","09/13/1968","04/19/2024","04/19/2025","Active","Individual","45.00","Check","04/12/2024","Widowed","Foster",""
"Iwona","Roberts","Iwona","robertsi@yahoo.com","(210) 913-8503","","15289 Cedar Elm","San Antonio","TX","78208","US","Female","","05/08/2022","05/08/2023","Active","Individual","45.00","PayPal","05/02/2022","Married","Patterson","Moved from Corpus Christi"
"Werner","Cantu","Werner","cantuw@gmail.com","(210) 456-4749","","17527 Old Pearsall Rd","San Antonio","TX","78201","US","Male","09/15/1962","09/11/2021","09/11/2022","Active","Family","65.00","PayPal","09/09/2021","Married","Northcutt",""
"Pamela","Xu","Pamela","pxu@gmail.com","(210) 212-7623","(830) 399-1888","6063 Encino Rio","San Antonio","TX","78182","US","Female","12/01/1951","05/24/2018","05/24/2019","Active","Organization","100.00","Check","05/20/2018","Widowed","",""
"Ralph","Nelson","Ralph","r.nelson@aol.com","(512) 634-5093","","24255 Post Oak Blvd Unit 874","Georgetown","TX","78635","US","Male","","03/06/2025","03/06/2026","Pending","Individual","0.00","","","Married","Cunningham",""
"Donna","Murphy","Donna","d.murphy@gmail.com","(210) 572-3974","","3826 Perrin Beitel Rd","San Antonio","TX","78142","US","Female","05/11/1955","05/25/2021","05/25/2022","Active","Individual","45.00","Credit Card","05/18/2021","Married","",""
"Valentina","Diaz","Val","valentina41@outlook.com","(512) 840-4973","","18772 Eagle Pass","Austin","TX","78629","US","Female","02/11/1978","07/12/2025","07/12/2026","Active","Senior","30.00","Credit Card","07/11/2025","Married","Mitchell; Bryant",""
"Tamika","Lopez","Tamika","tamika23@yahoo.com","(817) 424-5083","","19059 Lark Meadow","Fort Worth","TX","76099","US","Female","07/14/1948","09/19/2020","09/19/2021","Expired","Family","65.00","Credit Card","09/13/2020","Married","Medina; Patterson; Oglethorpe; Cox",""
"Wojciech","Fitzgerald","Wojciech","wojciech23@outlook.com","(210) 860-7854","","24411 Pine Meadow","San Antonio","TX","78241","US","Male","05/14/1992","11/19/2021","11/19/2022","Active","Individual","45.00","Check","11/18/2021","Married","O'Brien; Wang",""
"Colleen","Carter","Colleen","c.carter@yahoo.com","(210) 911-8567","(956) 223-9144","26425 Harry Wurzbach Rd","San Antonio","TX","78107","US","Female","01/31/1943","08/18/2021","08/18/2022","Active","Individual","45.00","Cash","08/18/2021","Single","Cantu; Rogers; Wright; Scott","Find A Grave contributor; SAR member; Presented at annual conference"
"Esperanza","Le","Esperanza","le.esperanza@outlook.com","(210) 552-7643","","26737 N New Braunfels Ave","San Antonio","TX","78117","US","Female","10/21/1963","10/09/2021","10/09/2022","Lapsed","Individual","45.00","PayPal","10/08/2021","","Callaway; Diaz; Godfrey",""
"Kavita","Do","Kavita","kavitado@hotmail.com","(210) 814-2817","(254) 310-3782","11466 Pecan Valley # 795","San Antonio","TX","78272","US","Female","01/25/1971","05/07/2019","05/06/2020","Expired","Individual","45.00","PayPal","05/01/2019","Widowed","Pemberton; James",""
"Daniel","Morales","Dan","daniel.morales@sbcglobal.net","(210) 757-2493","","342 Grissom Rd","San Antonio","TX","78298","US","Male","","01/05/2024","01/04/2025","Expired","Family","65.00","PayPal","12/30/2023","Divorced","Salazar; Moore; Oglethorpe","Moved from Austin; Board member"
"Gary","Hamilton","Gary","ghamilton@sbcglobal.net","(830) 414-6230","","13942 West Ave","Fredericksburg","TX","78662","US","Male","02/07/1990","08/04/2017","01/23/2026","Grace Period","Individual","45.00","Credit Card","08/03/2017","Widowed","Drummond; Hall; Pham; Meriwether; Ross","Research focus: German immigrants; Presented at annual conference"
"Katarzyna","Williams","Katarzyna","kwilliams@icloud.com","(210) 746-8526","","9801 Braun Rd # 957","San Antonio","TX","78298","US","Female","07/16/1945","07/07/2020","07/07/2021","Expired","Individual","45.00","PayPal","07/04/2020","Single","Westbrook",""
"Laura","Brennan","Laura","brennan.laura@outlook.com","(210) 249-2247","","2701 Lockhill Selma Rd","San Antonio","TX","78252","US","Female","11/06/1956","06/11/2020","06/11/2021","Active","Individual","45.00","Check","06/06/2020","Married","Robinson; Smith; Adams; Eastman",""
"Dorothy","Medina","Dorothy","dorothy.medina67@outlook.com","(210) 718-4619","","1004 Walzem Rd Suite 444","San Antonio","TX","78144","US","Female","04/12/1988","03/15/2024","03/15/2025","Active","Individual","45.00","PayPal","03/14/2024","Married","Beaumont",""
"Keith","Gallagher","Keith","kgallagher@yahoo.com","(830) 313-4645","(903) 587-9343","21243 Lake Dr","Boerne","TX","78005","US","Male","02/01/1960","07/18/2023","07/17/2024","Active","Family","65.00","PayPal","07/14/2023","","Green",""
"Angel","Patterson","Angel","patterson.angel@hotmail.com","(210) 765-3426","","18222 Flores St","San Antonio","TX","78160","US","Male","04/12/1942","01/09/2020","01/08/2021","Pending","Individual","0.00","","","Married","Allen; Drummond",""
"Heinrich","Martin","Heinrich","heinrich34@icloud.com","(956) 984-9693","","27055 Huebner Rd","Laredo","TX","78037","US","Male","","09/02/2024","09/02/2025","Expired","Family","65.00","PayPal","08/26/2024","Single","","Moved from out of state"
"Ethan","Morris","Ethan","emorris@swbell.net","(210) 977-3068","","16730 Wurzbach Rd","San Antonio","TX","78136","US","Male","08/10/1955","03/03/2022","03/03/2023","Expired","Family","65.00","PayPal","02/28/2022","Married","Gutierrez; Northcutt",""
"Zachary","Montoya","Zachary","zachary38@hotmail.com","(210) 937-7594","","451 Braun Rd","San Antonio","TX","78144","US","Male","10/19/1975","05/06/2022","05/06/2023","Active","Family","65.00","PayPal","05/06/2022","Widowed","Westbrook; Jackson; Rutherford",""
"Ebony","Xu","Ebony","","(210) 597-6432","","7884 Bitters Rd","San Antonio","TX","78147","US","Female","07/11/1935","07/22/2024","07/22/2025","Active","Individual","45.00","PayPal","07/18/2024","Single","Morgan",""
"Heather","Cantu","Heather","heather.cantu21@outlook.com","(210) 670-9173","","5910 De Zavala Rd","San Antonio","TX","78268","US","Female","12/05/1944","01/25/2020","03/16/2026","Grace Period","Individual","45.00","Check","01/18/2020","Widowed","Hughes; Cox; Fischer; Patel",""
"Judy","Villarreal","Judy","judy59@icloud.com","(210) 215-3656","","12089 Bulverde Rd Unit 227","San Antonio","TX","78279","US","Female","05/12/1968","11/18/2017","11/18/2018","Active","Individual","45.00","Cash","11/16/2017","Single","Adams; Shah",""
"Karl","Parker","Karl","parker.karl@gmail.com","(830) 509-2425","","17747 Starcrest Dr","New Braunfels","TX","78187","US","Male","07/13/1943","01/13/2025","01/13/2026","Active","Individual","45.00","Check","01/11/2025","Widowed","Lopez; Bailey; Chen; Mitchell; Fitzgerald; Thomas; Wood",""
"Diana","Jones","Diana","diana.jones@gmail.com","(210) 858-4989","","20284 Thousand Oaks Dr","San Antonio","TX","78110","US","Female","11/01/1930","02/13/2020","02/12/2021","Active","Individual","45.00","Check","02/08/2020","Married","Doyle; Thompson",""
"Liang","Hawkins","Liang","","(210) 432-1007","","25548 Bluemel Rd","San Antonio","TX","78217","US","Male","07/21/1938","02/10/2023","02/10/2024","Active","Individual","45.00","Check","02/06/2023","Married","Jones; McAllister",""
"Cormac","Kowalski","Cormac","cormac20@outlook.com","(512) 630-8012","","11292 Starcrest Dr","Round Rock","TX","78608","US","Male","","12/21/2017","12/21/2018","Expired","Individual","45.00","Check","12/21/2017","Married","",""
"Eric","Simpson","Eric","eric90@gmail.com","(210) 847-8005","","8064 San Pedro Ave","San Antonio","TX","78115","US","Male","02/28/1963","05/21/2021","","Active","Life","500.00","PayPal","05/15/2021","Married","Nelson",""
"Christopher","Harris","Christopher","harris.c73@att.net","(210) 449-2198","","8509 SW Military Dr","San Antonio","TX","78148","US","Male","08/25/1941","11/18/2017","11/18/2018","Deceased","Family","65.00","Check","11/11/2017","Married","Hughes; Rogers; Graham; Adams; Anderson",""
"Agnieszka","Martin","Agnieszka","agnieszka.martin21@att.net","(210) 655-4609","","12085 Culebra Rd","San Antonio","TX","78123","US","Female","06/08/1950","06/22/2021","06/22/2022","Deceased","Organization","100.00","Check","06/16/2021","Single","Kaminski; Stricklin",""
"Christine","Gordon","Christine","christine.gordon16@hotmail.com","(512) 205-7771","","18596 Lake Dr","Austin","TX","73742","US","Female","11/02/1942","07/23/2023","07/22/2024","Lapsed","Family","65.00","PayPal","07/20/2023","Widowed","Pham; Cook; Ward",""
"Stephen","Gonzalez","Steve","gonzalez.stephen@sbcglobal.net","(210) 499-9084","","22596 Dove Hollow","San Antonio","TX","78236","US","Male","12/19/1996","09/10/2020","09/10/2021","Active","Student","20.00","Credit Card","09/10/2020","Married","Patterson; Green; Lee",""
"Pamela","Webb","Pam","p.webb@swbell.net","(281) 699-7556","","14591 Broadway","Houston","TX","77480","US","Female","09/14/1941","03/01/2025","03/01/2026","Active","Individual","45.00","Credit Card","03/01/2025","Divorced","Fitzgerald; Gray; Hill",""
"Reginald","Sullivan","Reginald","reginald.sullivan55@aol.com","(210) 907-9851","","16344 Eagle Pass","San Antonio","TX","78289","US","Male","06/21/1931","07/20/2020","07/20/2021","Active","Family","65.00","Check","07/15/2020","Divorced","White; King; Edwards; Gonzalez",""
"George","Owens","George","owensg@att.net","(210) 686-6652","","17387 Falcon Crest","San Antonio","TX","78269","US","Male","09/24/1945","01/10/2023","01/10/2024","Active","Family","65.00","Check","01/09/2023","Married","",""
"Luke","Meyer","Luke","l.meyer@gmail.com","(210) 688-6083","","11543 Encino Rio Apt 640","San Antonio","TX","78213","US","Male","06/13/1960","08/18/2024","08/18/2025","Active","Individual","45.00","Check","08/17/2024","","Szymanski; Chamberlain",""
"Jasmine","Sullivan","Jasmine","sullivan.j47@gmail.com","(956) 729-7920","","18637 Summit Dr","Laredo","TX","78056","US","Female","09/07/1971","01/24/2016","01/23/2017","Active","Individual","45.00","Check","01/24/2016","Married","Edwards; Ward",""
"Mei","Mueller","Mei","meimueller@yahoo.com","(210) 453-9342","","5218 Rigsby Ave","San Antonio","TX","78212","US","Female","08/11/1974","05/14/2020","05/14/2021","Active","Individual","45.00","PayPal","05/07/2020","Single","Sanchez; Johnson; Nelson; Stricklan; Hughes",""
"Marisol","Simmons","Marisol","marisolsimmons@yahoo.com","(210) 853-7078","","23270 Bandera Rd","San Antonio","TX","78266","US","Female","02/08/1949","01/18/2023","01/18/2024","Active","Individual","45.00","Cash","01/11/2023","Married","Krawczyk",""
"Krzysztof","Long","Krzysztof","k.long@aol.com","(210) 343-6227","","24003 Cibolo Creek","San Antonio","TX","78125","US","Male","","03/03/2024","03/03/2025","Active","Individual","45.00","Check","03/01/2024","Widowed","Hargrove; Sanders",""
"Margaret","Mueller","Margaret","m.mueller@att.net","(972) 637-2971","","19090 Ridge Rd Suite 727","Dallas","TX","75344","US","Female","08/14/1954","07/17/2023","07/16/2024","Active","Family","65.00","Credit Card","07/14/2023","Married","Forsythe",""
"Joe","James","Joe","joe56@yahoo.com","(512) 330-2445","","24912 Misty Glen","Austin","TX","73790","US","Male","","04/14/2021","04/14/2022","Active","Family","65.00","Check","04/13/2021","Married","Rodriguez; Powell; Taylor",""
"Paul","Le","Paul","le.p4@swbell.net","(210) 557-4423","","27679 Evans Rd","San Antonio","TX","78171","US","Male","06/10/1945","02/20/2020","02/19/2021","Active","Family","65.00","Check","02/16/2020","Single","Howard",""
"Aisling","Estrada","Aisling","aislingestrada@comcast.net","(830) 412-2501","","16216 Ingram Rd","New Braunfels","TX","78154","US","Female","03/10/1974","10/06/2024","10/06/2025","Active","Individual","45.00","Stripe","09/29/2024","Single","Moore",""
"Renate","Brooks","Renate","","(210) 288-5983","","12354 Fredericksburg Rd","San Antonio","TX","78271","US","Female","03/16/1948","12/02/2022","12/02/2023","Lapsed","Individual","45.00","Credit Card","11/29/2022","","Beaumont; Cook; Griffin",""
"Ruth","Miller","Ruth","ruth.miller@gmail.com","(210) 267-8264","","23827 Live Oak St","San Antonio","TX","78168","US","Female","11/08/1943","09/20/2016","09/20/2017","Active","Honorary","0.00","Credit Card","09/20/2016","Single","Drummond; Morgan; Eastman; Nowak; Krueger; Hartmann",""
"Rosa","Hughes","Rosa","hughes.rosa@outlook.com","(512) 732-2094","","24938 Shady Oak","Austin","TX","73732","US","Female","06/30/1979","02/02/2024","02/01/2025","Expired","Individual","45.00","Stripe","01/30/2024","Single","Kumar",""
"Hana","Nair","Hana","h.nair@gmail.com","(214) 883-7917","","15545 2nd Ave","Dallas","TX","75182","US","Female","","08/23/2021","08/23/2022","Expired","Individual","45.00","Credit Card","08/16/2021","Married","Patterson",""
"Sofia","Gomez","Sofia","sofia.gomez@yahoo.com","(210) 994-3645","","13157 Roosevelt Ave","San Antonio","TX","78254","US","Female","12/17/1956","11/13/2019","11/12/2020","Active","Family","65.00","Check","11/07/2019","","Northcutt; Shah",""
"Priya","Smith","Priya","smith.p73@outlook.com","(210) 549-8808","","4991 SW Military Dr","San Antonio","TX","78148","US","Female","04/30/1962","06/01/2021","06/01/2022","Active","Honorary","0.00","Cash","05/28/2021","Married","Hayes; Powell; O'Sullivan; Medina; Pham",""
"Stephen","Kowalski","Stephen","s.kowalski@gmail.com","(830) 738-8021","(903) 867-6915","25359 Vance Jackson Rd Unit 269","Boerne","TX","78076","US","Male","08/18/1943","01/21/2022","01/21/2023","Expired","Individual","45.00","Check","01/21/2022","Widowed","Allen",""
"Sanjay","Miller","Sanjay","smiller@yahoo.com","(210) 611-6646","","5937 Zarzamora St","San Antonio","TX","78252","US","Male","11/18/1977","08/21/2016","08/21/2017","Active","Individual","45.00","Check","08/19/2016","Widowed","Underwood; Ellington; Hartmann; Adams; Torres; Callaway","Newsletter editor"
"Roisin","Hunt","Roisin","r.hunt@hotmail.com","(817) 512-7406","","19581 Lark Meadow","Fort Worth","TX","76032","US","Female","","06/21/2023","06/20/2024","Active","Organization","100.00","Check","06/16/2023","Married","Griffin",""
"Monique","Liu","Monique","mliu@sbcglobal.net","(210) 775-4746","","11573 Shadow Ln","San Antonio","TX","78180","US","Female","08/07/1955","06/08/2020","06/08/2021","Active","Individual","45.00","Check","06/01/2020","Married","Stricklin","Research focus: African American genealogy"
"Heidi","Do","Heidi","hdo@outlook.com","(210) 811-6524","","1038 Starcrest Dr Suite 327","San Antonio","TX","78246","US","Female","03/18/1934","01/02/2023","01/02/2024","Active","Individual","45.00","PayPal","12/29/2022","Married","Stewart; Garza; Thomas",""
"Grainne","Reeves","Grainne","reevesg@att.net","(512) 447-1468","(830) 543-6753","3603 Quail Creek Unit 706","Austin","TX","73781","US","Female","","09/04/2019","09/03/2020","Pending","Individual","0.00","","","Married","","Newsletter contributor"
"Colleen","Caldwell","Colleen","c.caldwell@att.net","(210) 872-6776","","9004 Pleasanton Rd","San Antonio","TX","78258","US","Female","07/27/1942","06/04/2023","06/03/2024","Active","Organization","100.00","Credit Card","05/30/2023","Married","Kensington; Washington; Sanders",""
"Amit","Patel","Amit","amitpatel@aol.com","(210) 688-5987","","11714 Braun Rd","San Antonio","TX","78288","US","Male","07/05/1934","08/07/2018","08/07/2019","Active","Individual","45.00","Check","08/03/2018","Married","Lewis",""
"Marie","Huang","Marie","marie.huang96@aol.com","(210) 377-7951","(361) 738-2941","16750 Shadow Ln","San Antonio","TX","78201","US","Female","07/19/1991","01/26/2021","01/26/2022","Active","Family","65.00","Credit Card","01/21/2021","Divorced","Martin; Ross; Long",""
"Hiroshi","Kelly","Hiroshi","hiroshikelly@gmail.com","(512) 377-4527","","7509 Cottonwood Ln","Austin","TX","73704","US","Male","02/22/1951","10/27/2018","10/27/2019","Active","Individual","45.00","Check","10/23/2018","Married","Phillips",""
"Arthur","Hicks","Arthur","arthur66@yahoo.com","(210) 312-6426","","796 Robin Nest","San Antonio","TX","78124","US","Male","12/07/1960","06/08/2024","06/08/2025","Active","Individual","45.00","Cash","06/07/2024","Divorced","Fitzgerald; Pham; O'Sullivan; Wright; Kensington",""
"Angel","Price","Angel","price.angel@gmail.com","(210) 265-8404","","5300 Timber Path # 145","San Antonio","TX","78295","US","Male","","03/04/2022","03/04/2023","Active","Individual","45.00","PayPal","03/01/2022","Married","Nowak; Cook; Kensington; Jankowski",""
"Fiona","White","Fiona","fiona.white@outlook.com","(210) 554-2326","","6439 Bandera Rd","San Antonio","TX","78106","US","Female","","07/24/2023","07/23/2024","Pending","Individual","0.00","","","Single","Reed",""
"Vincent","Hernandez","Vincent","vincent.hernandez52@gmail.com","(210) 478-1139","","23555 Harry Wurzbach Rd","San Antonio","TX","78186","US","Male","09/23/1965","09/04/2021","09/04/2022","Expired","Individual","45.00","Check","09/01/2021","Widowed","Martinez; Jackson; Pendleton",""
"Albert","O'Neill","Albert","a.oneill@yahoo.com","(210) 570-4867","","25263 Canyon View","San Antonio","TX","78296","US","Male","12/25/1960","04/18/2024","04/18/2025","Active","Individual","45.00","PayPal","04/17/2024","Single","Langston; Griffin; Patel; Jones; Wozniak; Oglethorpe; Stricklin; Wang",""
"Valentina","Salinas","Val","","(210) 915-2633","","15529 Huebner Rd","San Antonio","TX","78130","US","Female","01/26/1953","02/06/2022","02/06/2023","Active","Individual","45.00","Check","02/06/2022","Single","",""
"Colleen","Perez","Colleen","perezc@aol.com","(210) 345-7478","","12763 Callaghan Rd","San Antonio","TX","78154","US","Female","08/24/1946","09/17/2023","09/16/2024","Active","Individual","45.00","PayPal","09/15/2023","Widowed","Young; Green",""
"Alexis","Sharma","Alexis","alexissharma@icloud.com","(210) 757-9597","","9388 Commerce St","San Antonio","TX","78227","US","Female","05/22/1990","07/13/2020","07/13/2021","Active","Individual","45.00","Check","07/07/2020","Married","Meriwether; Hernandez",""
"Kathleen","Collins","Kathleen","collins.k38@hotmail.com","(210) 744-7905","","13621 Potranco Rd","San Antonio","TX","78149","US","Female","10/13/1961","04/13/2024","04/13/2025","Active","Organization","100.00","PayPal","04/10/2024","Married","Meriwether; Shah","Newsletter contributor"
"Michelle","Schultz","Michelle","schultz.michelle@gmail.com","(210) 592-6403","","9181 Culebra Rd Suite 52","San Antonio","TX","78195","US","Female","02/03/1942","05/16/2021","05/16/2022","Active","Individual","45.00","Check","05/13/2021","Married","Pham; Weber; Underwood",""
"Doris","Nair","Doris","dnair@hotmail.com","(830) 491-8353","","1864 Pine Meadow","New Braunfels","TX","78113","US","Female","09/28/1940","09/24/2021","09/24/2022","Active","Individual","45.00","Check","09/23/2021","","Robinson",""
"Elzbieta","Perkins","Elzbieta","perkins.elzbieta@gmail.com","(210) 560-8350","","24408 Medio Creek Suite 624","San Antonio","TX","78127","US","Female","02/03/1962","12/23/2021","12/23/2022","Active","Student","20.00","PayPal","12/23/2021","Married","Jackson; King",""
"Linda","Burke","Linda","burke.linda@earthlink.net","(210) 907-4186","","3950 Jones Maltsberger Rd Suite 275","San Antonio","TX","78296","US","Female","10/27/1950","06/24/2018","06/24/2019","Active","Individual","45.00","Check","06/19/2018","Single","Rivera; Meriwether; Patel","Research focus: Texas Revolution"
"Albert","Reynolds","Albert","albert53@gmail.com","(817) 814-4018","","2188 Timber Path","Fort Worth","TX","76022","US","Male","12/06/1940","12/18/2016","12/18/2017","Expired","Individual","45.00","Check","12/14/2016","Married","",""
"Andrea","Spencer","Andi","andrea41@aol.com","(210) 993-1755","","14046 Dove Hollow","San Antonio","TX","78174","US","Female","05/30/1941","10/28/2023","10/27/2024","Expired","Individual","45.00","Check","10/27/2023","Married","Powell; Underwood; Remington; Lee; Braun",""
"Jose","Owens","Jose","jose67@yahoo.com","(713) 690-4708","","368 Pat Booker Rd","Houston","TX","77282","US","Male","05/04/1979","12/08/2023","12/07/2024","Active","Individual","45.00","Credit Card","12/08/2023","Married","Rivera; Wisniewski",""
"Deborah","Sanchez","Deborah","sanchez.deborah@gmail.com","(512) 361-5579","","27420 Lark Meadow Suite 450","Austin","TX","78644","US","Female","02/22/1991","06/14/2016","06/14/2017","Expired","Individual","45.00","Stripe","06/14/2016","Single","Doyle",""
"Kavita","Scott","Kavita","scott.kavita@yahoo.com","(210) 295-1914","","27023 Roosevelt Ave","San Antonio","TX","78285","US","Female","01/21/1974","03/24/2022","03/24/2023","Active","Individual","45.00","PayPal","03/22/2022","Married","Griffin; Forsythe",""
"Gabriela","Flores","Gabriela","gflores@gmail.com","(210) 840-9876","","6288 Shady Oak","San Antonio","TX","78239","US","Female","","07/14/2020","07/14/2021","Active","Student","20.00","Credit Card","07/11/2020","Married","Hargrove; Stricklen; De La Cruz; Shah; Murphy","Organizes field trips"
"Andrzej","Gallagher","Andrzej","andrzej.gallagher94@outlook.com","(469) 494-3879","","23838 Starcrest Dr","Dallas","TX","75070","US","Male","05/07/1933","06/06/2022","","Active","Life","500.00","Stripe","06/01/2022","Single","Greenwood; Williams; Cox; Garza; Richter; Shah","Courthouse records specialist"
"Liang","Collins","Liang","liang15@yahoo.com","(210) 204-1616","","26155 Cedar Elm","San Antonio","TX","78270","US","Male","05/10/1957","07/17/2021","07/17/2022","Expired","Family","65.00","Stripe","07/11/2021","Married","Krawczyk; Brown; Becker",""
"Brigitte","Thomas","Brigitte","b.thomas@sbcglobal.net","(830) 284-2323","(972) 420-9578","8543 Washington Blvd # 492","Boerne","TX","78053","US","Female","11/11/1951","01/22/2021","01/22/2022","Active","Family","65.00","Check","01/15/2021","Single","Meriwether; Parker; Morris; Brooks; Abernathy",""
"Anita","Gupta","Anita","anita.gupta@gmail.com","(512) 618-4757","","10187 Vance Jackson Rd Suite 923","Austin","TX","78771","US","Female","12/18/1958","02/10/2023","02/10/2024","Active","Student","20.00","Stripe","02/08/2023","Married","Cooper; De La Cruz; Jenkins; Drummond","Research focus: Native American ancestry"
"Jean","Baker","Jean","jbaker@aol.com","(210) 772-1848","","6419 De Zavala Rd","San Antonio","TX","78202","US","Female","02/28/1938","10/11/2022","10/11/2023","Expired","Individual","45.00","Check","10/08/2022","Married","Bryant; Gonzalez; Ellington; Gallagher; Jankowski; Washington",""
"Betty","Owens","Betty","betty.owens7@yahoo.com","(210) 896-5608","","19502 Potranco Rd","San Antonio","TX","78195","US","Female","02/18/1947","06/15/2019","06/14/2020","Active","Honorary","0.00","Credit Card","06/14/2019","Married","Wojcik; Morgan; Lopez; Wood; Watson; Simmons",""
"Rachel","Wang","Rachel","wangr@yahoo.com","(281) 707-5341","","25343 Robin Nest","Houston","TX","77383","US","Female","09/23/1949","08/24/2024","08/24/2025","Active","Individual","45.00","PayPal","08/20/2024","Divorced","Cooper; O'Connor; Hayes; Wozniak; Braun; Castillo; Brooks",""
"Elizabeth","Cantu","Elizabeth","ecantu@gmail.com","(210) 972-8719","","21357 Harry Wurzbach Rd Apt 808","San Antonio","TX","78282","US","Female","05/24/1963","12/17/2021","12/17/2022","Active","Individual","45.00","Check","12/13/2021","Widowed","Long; Beaumont; Chamberlain",""
"Patrick","Hamilton","Patrick","patrick.hamilton@yahoo.com","(830) 466-8641","(713) 954-2289","2299 West Ave","Seguin","TX","78174","US","Male","07/03/1967","10/19/2022","10/19/2023","Active","Family","65.00","Credit Card","10/14/2022","","",""
"Adriana","Owens","Adriana","a.owens@yahoo.com","(210) 681-8351","","3048 Timber Path","San Antonio","TX","78165","US","Female","12/15/1930","07/18/2022","07/18/2023","Expired","Individual","45.00","Credit Card","07/18/2022","Widowed","Hughes; Patel",""
"Arjun","Green","Arjun","arjun.green@gmail.com","(713) 708-7927","","569 Pine Meadow","Houston","TX","77487","US","Male","03/30/1961","04/03/2020","04/03/2021","Active","Individual","45.00","PayPal","03/28/2020","Married","Richardson; Reed; Medina",""
"Francisco","Chambers","Francisco","franciscochambers@gmail.com","(210) 488-2689","(469) 888-3727","23659 Thousand Oaks Dr","San Antonio","TX","78182","US","Male","02/18/1952","07/14/2023","02/27/2026","Grace Period","Family","65.00","Cash","07/07/2023","Married","",""
"Lucas","Carter","Lucas","carterl@gmail.com","(210) 990-6214","","2574 Bluemel Rd","San Antonio","TX","78181","US","Male","09/20/1940","01/26/2023","01/26/2024","Active","Student","20.00","PayPal","01/22/2023","Widowed","Turner; Medina; Russell; Powell; Foster; Stricklen; Hernandez",""
"Kenji","Simmons","Kenji","ksimmons@gmail.com","(210) 760-1672","","6426 Hidden Knoll Suite 887","San Antonio","TX","78124","US","Male","03/10/1969","06/19/2022","02/17/2026","Grace Period","Individual","45.00","Credit Card","06/16/2022","","Langston; Allen; Phillips; Thompson; Stricklan",""
"Heather","Mills","Heather","heathermills@gmail.com","(210) 856-6838","","27820 Military Dr","San Antonio","TX","78128","US","Female","","08/18/2015","08/17/2016","Active","Individual","45.00","Check","08/17/2015","Divorced","Becker; Foster; Blackwood; Montoya; Wood",""
"Francisco","Bui","Francisco","f.bui@gmail.com","(817) 811-2610","","20116 Hidden Knoll","Fort Worth","TX","76153","US","Male","10/30/1938","02/23/2021","02/23/2022","Expired","Individual","45.00","Credit Card","02/17/2021","Single","",""
"Beata","Peterson","Beata","peterson.b52@gmail.com","(210) 355-2371","","16359 Starcrest Dr","San Antonio","TX","78121","US","Female","10/19/1953","04/21/2015","04/20/2016","Active","Honorary","0.00","Check","04/20/2015","Widowed","",""
"Sanjay","Kowalski","Sanjay","sanjay.kowalski@aol.com","(713) 349-1499","(281) 876-8590","27699 Hidden Knoll","Houston","TX","77563","US","Male","04/18/1947","02/10/2022","02/10/2023","Active","Individual","45.00","Check","02/10/2022","Married","Northcutt; Davis; Drummond; Gonzalez; Greenwood","Newspaper archives researcher"
"Jerome","Harris","Jerome","jerome.harris24@icloud.com","(817) 688-5317","","26367 Walnut St","Fort Worth","TX","76005","US","Male","02/21/1933","07/13/2021","07/13/2022","Active","Family","65.00","Stripe","07/09/2021","Married","",""
"Theresa","Patel","Theresa","theresa75@outlook.com","(281) 555-7972","","20099 Redland Rd # 675","Houston","TX","77053","US","Female","03/27/1983","12/28/2025","12/28/2026","Active","Student","20.00","Check","12/22/2025","Married","James; Fitzgerald; Pendleton; Wojcik; Clark",""
"Joyce","Moore","Joyce","moorej@gmail.com","(713) 935-5748","","19305 NW Military Hwy","Houston","TX","77593","US","Female","","04/19/2018","04/19/2019","Active","Individual","45.00","Check","04/18/2018","","Harris; Trevino",""
